acc_L	ncc_id	match_tier	score	acc_match_key	ncc_match_key	provenance
34295	11_12_a_221	A	1.0	pancagavyavidhi	pancagavyavidhi	auto
44546	11_12_a_221	A	1.0	pancagavyavidhi	pancagavyavidhi	auto
3032	3_78_b_1239	A	1.0	evakaravicara	evakaravicara	auto
3032	3_78_b_1240	A	1.0	evakaravicara	evakaravicara	auto
42365	3_78_b_1239	A	1.0	evakaravicara	evakaravicara	auto
42365	3_78_b_1240	A	1.0	evakaravicara	evakaravicara	auto
15399	14_210_a_2153	A	1.0	brahmasarasvati	brahmasarasvati	auto
38060	35_289_a_3213	A	1.0	sricakranyasa	sricakranyasa	auto
13797	12_182_b_2977	A	1.0	purvapaksavyapti	purvapaksavyapti	auto
18557	22_7_b_99	A	1.0	yajnavalkyagita	yajnavalkyagita	auto
35973	22_7_b_99	A	1.0	yajnavalkyagita	yajnavalkyagita	auto
40819	22_7_b_99	A	1.0	yajnavalkyagita	yajnavalkyagita	auto
45858	22_7_b_99	A	1.0	yajnavalkyagita	yajnavalkyagita	auto
42915	5_192_a_2708	A	1.0	gaganasiddhi	gaganasiddhi	auto
46722.1	31_253_b_2357	A	1.0	vedantarthaviveka	vedantarthaviveka	auto
33378	8_185_b_2517	A	1.0	tilakasastra	tilakasastra	auto
22032	27_265_a_3117	A	1.0	vasudevastotra	vasudevastotra	auto
22032	28_210_a_2106	A	1.0	vasudevastotra	vasudevastotra	auto
22032	28_210_a_2107	A	1.0	vasudevastotra	vasudevastotra	auto
7587	7_107_b_1921	A	1.0	chandoviveka	chandoviveka	auto
3060	3_93_b_1354	A	1.0	omkaradhvaninadopanisad	omkaradhvaninadopanisad	auto
6239	6_125_b_2018	A	1.0	godaparinaya	godaparinaya	auto
6239	6_125_b_2019	A	1.0	godaparinaya	godaparinaya	auto
6239	6_125_b_2020	A	1.0	godaparinaya	godaparinaya	auto
6239	6_125_b_2021	A	1.0	godaparinaya	godaparinaya	auto
32679	6_125_b_2018	A	1.0	godaparinaya	godaparinaya	auto
32679	6_125_b_2019	A	1.0	godaparinaya	godaparinaya	auto
32679	6_125_b_2020	A	1.0	godaparinaya	godaparinaya	auto
32679	6_125_b_2021	A	1.0	godaparinaya	godaparinaya	auto
2203	2_212_a_3628	A	1.0	asramadharma	asramadharma	auto
32706	6_159_b_2557	A	1.0	gopijanavallabhacaranaikatana	gopijanavallabhacaranaikatana	auto
6192	6_109_a_1800	A	1.0	grhyandapille	grhyandapille	auto
11795	10_118_b_1893	A	1.0	nityakarmalata	nityakarmalata	auto
25712	35_134_b_1562	A	1.0	saivapurana	saivapurana	auto
14117	12_287_b_4594	A	1.0	prathamacakravartilaksanakroda	prathamacakravartilaksanakroda	auto
21008	26_189_a_1956	A	1.0	laghvastavarga	laghvastavarga	auto
32718	6_178_b_2848	A	1.0	goraksakhyana	goraksakhyana	auto
37117	30_106_a_1035	A	1.0	visvamitramahatmya	visvamitramahatmya	auto
16157	17_146_b_1202	A	1.0	bhiksakaragupta	bhiksakaragupta	auto
28114	39_118_a_1184	A	1.0	siddhantanyayacandrika	siddhantanyayacandrika	auto
11368	10_24_a_268	A	1.0	naciraja	naciraja	auto
4391	4_225_b_2460	A	1.0	kumaripujana	kumaripujana	auto
42680	4_225_b_2460	A	1.0	kumaripujana	kumaripujana	auto
2306	2_249_b_4339	A	1.0	indra	indra	auto
2306	2_249_b_4340	A	1.0	indra	indra	auto
2306	2_250_a_4341	A	1.0	indra	indra	auto
2306	2_250_a_4342	A	1.0	indra	indra	auto
2307	2_249_b_4339	A	1.0	indra	indra	auto
2307	2_249_b_4340	A	1.0	indra	indra	auto
2307	2_250_a_4341	A	1.0	indra	indra	auto
2307	2_250_a_4342	A	1.0	indra	indra	auto
2308	2_249_b_4339	A	1.0	indra	indra	auto
2308	2_249_b_4340	A	1.0	indra	indra	auto
2308	2_250_a_4341	A	1.0	indra	indra	auto
2308	2_250_a_4342	A	1.0	indra	indra	auto
30231	2_249_b_4339	A	1.0	indra	indra	auto
30231	2_249_b_4340	A	1.0	indra	indra	auto
30231	2_250_a_4341	A	1.0	indra	indra	auto
30231	2_250_a_4342	A	1.0	indra	indra	auto
37908	35_33_b_394	A	1.0	sunga	sunga	auto
37908	35_33_b_395	A	1.0	sunga	sunga	auto
21540	27_206_a_2512	A	1.0	varsaphalapaddhati	varsaphalapaddhati	auto
43726.1	27_206_a_2512	A	1.0	varsaphalapaddhati	varsaphalapaddhati	auto
46490	27_206_a_2512	A	1.0	varsaphalapaddhati	varsaphalapaddhati	auto
