kanda	sarga	n_verses	volume	page_first	page_last	ipage_first	ipage_last	flags
1	1	100	I	6	24	2a	11a	
1	2	43	I	25	34	11b	16a	
1	3	39	I	34	38	16a	18a	
1	4	36	I	39	44	18b	21a	
1	5	23	I	44	47	21a	22b	
1	6	28	I	47	50	22b	24a	
1	7	24	I	50	53	24a	25b	
1	8	25	I	53	56	25b	27a	
1	9	21	I	56	58	27a	28a	
1	10	33	I	59	63	28b	30b	
1	11	31	I	63	66	30b	32a	
1	12	22	I	66	68	32a	33a	
1	13	42	I	68	72	33a	35a	
1	14	61	I	72	78	35a	38a	
1	15	34	I	79	82	38b	40a	
1	16	32	I	82	86	40a	42a	
1	17	37	I	86	89	42a	43b	
1	18	59	I	89	95	43b	46b	
1	19	22	I	96	99	47a	48b	
1	20	28	I	99	102	48b	50a	
1	21	22	I	102	104	50a	51a	
1	22	24	I	104	107	51a	52b	
1	23	23	I	107	109	52b	53b	
1	24	32	I	109	112	53b	55a	
1	25	22	I	112	114	55a	56a	
1	26	26	I	114	117	56a	57b	
1	27	28	I	118	120	58a	59a	
1	28	22	I	120	122	59a	60a	
1	29	32	I	122	126	60a	62a	
1	30	26	I	126	128	62a	63a	
1	31	24	I	128	130	63a	64a	
1	32	27	I	130	133	64a	65b	
1	33	27	I	133	136	65b	67a	
1	34	23	I	136	138	67a	68a	
1	35	23	I	138	140	68a	69a	
1	36	27	I	141	144	69b	71a	
1	37	32	I	144	147	71a	72b	
1	38	25	I	147	149	72b	73b	
1	39	26	I	149	151	73b	74b	
1	40	30	I	152	154	75a	76a	
1	41	26	I	154	156	76a	77a	
1	42	25	I	156	158	77a	78a	
1	43	42	I	158	162	78a	80a	
1	44	23	I	162	164	80a	81a	
1	45	45	I	164	168	81a	83a	
1	46	23	I	168	170	83a	84a	
1	47	22	I	170	172	84a	85a	
1	48	34	I	172	176	85a	87a	
1	49	23	I	176	179	87a	88b	
1	50	25	I	179	181	88b	89b	
1	51	29	I	181	183	89b	90b	
1	52	23	I	183	185	90b	91b	
1	53	26	I	185	188	91b	93a	
1	54	24	I	188	189	93a	93b	
1	55	28	I	190	192	94a	95a	
1	56	24	I	192	194	95a	96a	
1	57	22	I	194	196	96a	97a	
1	58	24	I	196	198	97a	96a	
1	59	22	I	198	200	96a	97a	
1	60	34	I	200	203	97a	98b	
1	61	24	I	203	205	98b	99b	
1	62	28	I	205	208	99b	101a	
1	63	26	I	208	210	101a	102a	
1	64	20	I	210	212	102a	103a	
1	65	40	I	212	215	103a	104b	
1	66	27	I	215	218	104b	106a	
1	67	27	I	218	220	106a	107a	
1	68	19	I	221	222	107b	108a	
1	69	18	I	222	224	108a	109a	
1	70	45	I	224	227	109a	110b	
1	71	25	I	227	230	110b	112a	
1	72	25	I	230	232	112a	113a	
1	73	40	I	232	236	113a	115a	
1	74	24	I	236	238	115a	116a	
1	75	28	I	238	241	116a	117b	
1	76	24	I	241	243	117b	118b	
1	77	29	I	244	246	119a	120a	
2	1	51	I	252	257	1a	3b	
2	2	55	I	258	263	4a	6b	
2	3	49	I	263	268	6b	9a	
2	4	45	I	268	272	9a	11a	
2	5	26	I	272	274	11a	12a	
2	6	28	I	274	276	12a	13a	
2	7	36	I	277	281	13b	15b	
2	8	39	I	281	286	15b	18a	
2	9	66	I	286	293	18a	21b	
2	10	41	I	293	297	21b	23b	
2	11	29	I	297	300	23b	25a	
2	12	112	I	300	312	25a	31a	
2	13	26	I	313	315	31b	32b	
2	14	67	I	315	322	32b	36a	
2	15	48	I	322	326	36a	38a	
2	16	46	I	327	331	38b	40b	
2	17	22	I	331	333	40b	41b	
2	18	41	I	334	337	42a	43b	
2	19	40	I	337	341	43b	45b	
2	20	55	I	341	347	45b	48b	
2	21	64	I	347	355	48b	52b	
2	22	30	I	355	359	52b	54b	
2	23	42	I	359	365	54b	57b	
2	24	38	I	365	369	57b	59b	
2	25	45	I	369	373	59b	61b	
2	26	38	I	373	376	61b	63a	
2	27	24	I	377	380	63b	65a	
2	28	26	I	380	382	65a	66a	
2	29	24	I	382	385	66a	67b	
2	30	46	I	385	390	67b	70a	
2	31	37	I	390	393	70a	71b	
2	32	46	I	393	398	71b	74a	
2	33	31	I	398	400	74a	75a	
2	34	61	I	400	406	75a	78a	
2	35	37	I	406	410	78a	80a	
2	36	33	I	410	413	80a	81b	
2	37	37	I	413	417	81b	83b	
2	38	15	I	417	419	83b	84b	
2	39	41	I	419	423	84b	86b	
2	40	51	I	423	428	86b	89a	
2	41	20	I	428	430	89a	90a	
2	42	35	I	430	434	90a	92a	
2	43	21	I	434	436	92a	93a	
2	44	31	I	436	439	93a	94b	
2	45	33	I	439	443	94b	96b	
2	46	34	I	443	446	96b	98a	
2	47	19	I	446	448	98a	99a	
2	48	37	I	448	452	99a	101a	
2	49	17	I	452	454	101a	102a	
2	50	51	I	454	459	102a	104b	
2	51	27	I	459	461	104b	105b	
2	52	102	I	461	471	105b	110b	
2	53	35	I	471	475	110b	112b	
2	54	44	I	475	479	112b	114b	
2	55	33	I	479	482	114b	116a	
2	56	35	I	482	485	116a	117b	
2	57	34	I	485	488	117b	119a	
2	58	37	I	488	492	119a	121a	
2	59	33	I	492	495	121a	122b	
2	60	23	I	495	498	122b	124a	
2	61	27	I	498	501	124a	125b	
2	62	20	I	501	503	125b	126b	
2	63	54	I	503	508	126b	129a	
2	64	78	I	508	516	129a	133a	
2	65	29	I	516	519	133a	134b	
2	66	29	I	519	522	134b	136a	
2	67	38	I	522	526	136a	138a	
2	68	22	I	526	528	138a	139a	
2	69	22	I	529	530	139b	140a	
2	70	30	I	531	533	140b	141b	
2	71	46	I	533	538	141b	144a	
2	72	55	I	538	542	144a	146a	
2	73	28	I	542	545	146a	147b	
2	74	36	I	545	549	147b	149b	
2	75	65	I	549	556	149b	153a	
2	76	23	I	556	558	153a	154a	
2	77	26	I	558	560	154a	155a	
2	78	26	I	560	562	155a	156a	
2	79	17	I	563	564	156b	157a	
2	80	22	I	565	567	157b	158b	
2	81	16	I	567	569	158b	159b	
2	82	32	I	569	572	159b	161a	
2	83	26	I	572	574	161a	162a	
2	84	18	I	574	576	162a	163a	
2	85	22	I	576	578	163a	164a	
2	86	25	I	578	580	164a	165a	
2	87	24	I	580	582	165a	166a	
2	88	30	I	582	585	166a	167b	
2	89	23	I	585	587	167b	168b	
2	90	24	I	587	590	168b	170a	
2	91	83	I	590	598	170a	174a	
2	92	40	I	598	601	174a	175b	
2	93	27	I	601	604	175b	177a	
2	94	27	I	604	606	177a	178a	
2	95	19	I	607	608	178b	179a	
2	95.1	57	I	608	611	179a	180b	interpolated
2	96	31	I	611	614	180b	182a	
2	97	31	I	614	616	182a	183a	
2	98	18	I	617	618	183b	184a	
2	99	42	I	618	622	184a	186a	
