k1	hom	lemma_iast	total_occ	cooccur	collocates
aRutA		aṇutā	2	2	parama:1|nāvana:1
aRutEla		aṇutaila	22	25	abhyaṅga:3|uṣṇa:2|divasa:1|randhra:1|kṛmi:1|vaṁśa:1|guṇa:1|candana:1|varṣa:1|kṣip:1|kāla:1|kalpa:1
aRumAtrika		aṇumātrika	1	1	bhuj:1
aRurevatI		aṇurevatī	2	2	taruṇī:1|bīja:1
aRuha		aṇuha	3	4	dāyāda:2|meṣī:1|vīryavat:1
aRqa		aṇḍa	289	521	ja:49|kanaka:10|āvaraṇa:10|brahman:9|kukkuṭa:9|kapāla:9|caṭakā:7|kaṭāha:7|aṇḍa:6|matsya:6|rasa:5|udbhava:5
aRqaka		aṇḍaka	13	13	garuḍa:1|chinnā:1|samudra:1|kūrma:1|ārambha:1|raktakāla:1|prabhā:1|sattva:1|as:1|loka:1|tyaj:1|heman:1
aRqakoza		aṇḍakoṣa	7	8	vṛṣaṇa:2|aṇḍa:1|ātman:1|mañjuśrī:1|svatantra:1|avidyā:1|kalaviṅka:1
aRqaja		aṇḍaja	75	84	druma:4|mṛga:3|dṛś:3|sarpa:2|kṛ:2|sveda:1|bodhisattva:1|svastha:1|udbhid:1|jalaśāyana:1|kula:1|nābhijanman:1
aRqajeSvara		aṇḍajeśvara	1	1	uraga:1
aRqavfdDi		aṇḍavṛddhi	1	1	samāvyadh:1
aRqIra		aṇḍīra	2	2	varūtha:1|dhānaka:1
aRva		aṇva	8	10	sūra:2|meṣī:2|parimāṇa:1|goṣā:1|tan:1|dhārā:1|sac:1|yā:1
at	2	at	4	4	anukaraṇa:1|pañcamī:1|iti:1|kim:1
atawa		ataṭa	2	2	prapāta:1|nivāray:1
ataTA		atathā	2	2	maghavan:1|vah:1
ataTocita		atathocita	15	21	śī:4|bhūmi:2|pṛthivī:2|rājan:2|bhṛgu:1|rāja:1|pat:1|mārga:1|duṣprekṣya:1|aṅga:1|samīkṣ:1|paś:1
atana		atana	2	2	svarūpin:1|saṁdhāna:1
atantra		atantra	3	3	saṁvarmita:1|bahuvacana:1|vīṇā:1
atandra		atandra	11	12	dūta:2|prajā:1|yāna:1|abhirakṣ:1|garbha:1|śeva:1|yuvati:1|rayi:1|avṛka:1|pramāda:1|havya:1
atandrita		atandrita	226	332	kṛ:30|saṁvatsara:8|karman:7|kāla:5|divārātra:5|varṣa:4|yuj:4|bhikṣu:4|yoga:3|adhī:3|agni:3|jap:3
atandrin		atandrin	11	11	apasavya:1|sev:1|rātri:1|śuśrūṣaṇa:1|jñāti:1|śauca:1|kṛ:1|auṣadha:1|tā:1|kalpa:1|dā:1
atapa		atapa	6	38	abṛha:17|sudṛśa:17|bhū:1|gam:1|bṛhatphala:1|śata:1
atapas		atapas	12	12	koṭi:1|anadhīyāna:1|abuddhi:1|sura:1|jña:1|tapas:1|kastapas:1|jñā:1|prakṛti:1|puruṣa:1|ṛṣi:1|niṣkala:1
atapaska		atapaska	1	1	vac:1
atarka		atarka	2	3	pada:2|rātri:1
atarkita		atarkita	8	8	divya:1|rājan:1|acintya:1|samādā:1|tva:1|gati:1|mātra:1|darśana:1
atala		atala	11	14	vitala:3|ādi:2|prabandha:1|vastu:1|pradeśa:1|prabhāva:1|śata:1|parikīrtay:1|sita:1|ga:1|kaṭi:1
atasa		atasa	17	18	agni:2|soma:1|akṛta:1|śociṣmat:1|vana:1|tṛṣu:1|kṛṣṇa:1|vāta:1|sthā:1|pṛṣṭha:1|juhū:1|arāti:1
atasAyya		atasāyya	4	4	vāja:1|tura:1|nṛ:1|bhū:1
atasi		atasi	2	2	navyas:1|agni:1
ati		ati	8	8	sāmīpya:1|prati:1|dṛś:1|kṣip:1|kṛt:1|bhaja:1|atikramaṇa:1|cara:1
atikandaka		atikandaka	2	2	sthūlakanda:1|karṇa:1
atikarzaRa		atikarṣaṇa	2	2	yoga:1|sūrya:1
atikAya		atikāya	46	59	mahat:7|triśiras:3|tejasvin:3|bāṇa:3|balavat:2|vīra:1|rūpa:1|indra:1|bahu:1|tva:1|putra:1|saṁkāśa:1
atikfcCra		atikṛcchra	19	37	kṛcchra:12|nipātana:5|pāṇi:2|cāndrāyaṇa:2|dātṛ:2|mahat:1|antya:1|śoṇita:1|dvija:1|prabhu:1|vṛkodara:1|samāhita:1
atikfta		atikṛta	4	4	kaṭi:1|as:1|pramāṇa:1|bhadra:1
atikrama		atikrama	79	112	brāhmaṇa:7|yā:5|dharma:5|kāla:5|prāyaścitta:4|kṛ:3|mahat:3|ekaika:3|uttama:2|vrata:2|daṇḍa:2|ākṣepa:2
atikramin		atikramin	3	3	bhāryā:1|anāsedhya:1|saptan:1
atiga		atiga	73	123	śāsana:10|śāstra:8|marman:5|jarā:5|guṇa:5|śabda:4|loka:3|dharma:3|bhū:3|śoka:3|vayas:2|śara:2
atigaRqa		atigaṇḍa	2	2	gaṇḍa:1|draupadī:1
atiganDa		atigandha	2	2	biḍālaka:1|pīta:1
atiganDAlu		atigandhālu	1	1	vṛttapattrā:1
atiguRa		atiguṇa	9	11	mūṣā:2|uttara:2|māpay:1|prada:1|tattva:1|vistara:1|pratyudīr:1|mahat:1|saṁkhyā:1
atiguhA		atiguhā	11	13	triparṇī:2|guhā:2|svarga:1|vidārigandhā:1|saumyā:1|dīrghamūlā:1|balā:1|vacā:1|jaṭilā:1|kumudā:1|dhruvā:1
atigraha		atigraha	15	17	aṣṭan:3|vṛddhi:1|viṣaghnī:1|as:1|graha:1|vyathana:1|vac:1|apāna:1|nāman:1|rasa:1|rūpa:1|śabda:1
atiGnya		atighnya	2	2	bhūmi:1|ādi:1
aticaraRa		aticaraṇa	1	1	loka:1
aticAra		aticāra	4	5	bhartṛ:2|padmā:1|sūkṣma:1|vakra:1
aticArin		aticārin	1	1	strī:1
aticCandas	1	aticchandas	26	37	chandas:4|pārucchepa:4|saptan:4|loka:2|aticchandas:2|ādi:1|piṇḍa:1|mānava:1|sṛ:1|āhavanīya:1|pañcanidhana:1|ahar:1
aticCandas	2	aticchandas	26	37	chandas:4|pārucchepa:4|saptan:4|loka:2|aticchandas:2|ādi:1|piṇḍa:1|mānava:1|sṛ:1|āhavanīya:1|pañcanidhana:1|ahar:1
atijagatI		atijagatī	5	6	ahar:2|pṛtanā:1|pāpman:1|chandas:1|apabhraṁśa:1
atijana		atijana	2	2	akṣa:1|ahar:1
atijAgara		atijāgara	2	3	atinidrā:2|dīrghagrīva:1
atitfpti		atitṛpti	3	3	śastra:1|vāruṇī:1|bhṛtya:1
atiTi		atithi	2	2	aśmaja:1|mantra:1
atiTin		atithin	2	2	sādhvarya:1|diva:1
atidAna		atidāna	10	15	ādi:6|pitta:1|viśeṣa:1|atiyajana:1|pradāna:1|ātman:1|vyaya:1|vacana:1|ah:1|abhidhāna:1
atidIpya		atidīpya	2	2	pāvaka:1|dṛṣṭānta:1
atidUra		atidūra	35	38	atisaṁnikarṣa:2|pada:2|gṛha:2|samūha:1|dṛś:1|anuparodha:1|sthāna:1|astitva:1|kṛtāñjali:1|kūpa:1|giri:1|nadī:1
atideva		atideva	6	10	deva:4|nara:2|agni:1|asura:1|saktu:1|satya:1
atideSa		atideśa	30	30	ityādi:1|iṣira:1|māsa:1|yoga:1|pakṣa:1|sāmarthya:1|kara:1|rasa:1|bhū:1|pradeśa:1|artha:1|sādhana:1
atiDanvan		atidhanvan	1	1	nara:1
atiDfti		atidhṛti	4	4	candra:1|śaunaka:1|bala:1|guṇa:1
atinAman		atināman	4	5	sahiṣṇu:2|vivasvant:1|da:1|ṣaṣṭha:1
atinidra		atinidra	6	9	tā:3|śoṣa:2|naṣṭanidra:1|nivṛtti:1|moha:1|hita:1
atipatti		atipatti	4	5	kāla:2|hetu:1|kriyā:1|arpay:1
atipAta		atipāta	18	27	kāla:5|prāṇa:5|parāñc:2|sahiṣṇu:1|paryāya:1|ārambha:1|paryaya:1|niranukrośa:1|ādi:1|maraṇa:1|avadya:1|cikitsā:1
atipAtaka		atipātaka	3	3	atijāgara:1|gamana:1|mahāpātaka:1
atipAtita		atipātita	5	7	majjānugata:2|chinna:2|as:1|vakra:1|avimukta:1
atipAtin		atipātin	9	9	majjānugata:1|unmāda:1|roga:1|vākya:1|vid:1|vacana:1|tva:1|prāṇa:1|artha:1
atipitAmaha		atipitāmaha	1	1	ah:1
atipUruza		atipūruṣa	2	2	karman:1|nirvāsay:1
atipraRaya		atipraṇaya	1	1	ghaṭikā:1
atipramARa		atipramāṇa	12	12	sattva:1|ābhū:1|ānana:1|vici:1|gagana:1|pramardana:1|balin:1|śveta:1|śarīra:1|aṇīyas:1|iṣ:1|padma:1
atipravftti		atipravṛtti	27	37	śoṇita:5|saṅga:3|rakta:3|atiyoga:2|nimitta:2|vibandha:1|praṇaya:1|glāni:1|atyutsarga:1|aṅgamarda:1|daurgandhya:1|pakva:1
atiprasakti		atiprasakti	1	1	sru:1
atiprasaNga		atiprasaṅga	24	29	strī:3|śoṣa:2|abhāva:2|saṁkṣepa:2|abhyupagati:1|niṣedha:1|īśvara:1|anapekṣa:1|anekānta:1|akāla:1|kṛ:1|ādi:1
atibala		atibala	79	109	bala:6|rāma:5|vāta:4|mahat:4|vājin:3|indriya:3|apratihata:3|lakṣmaṇa:2|śūra:2|indra:2|bahu:2|ceṣṭā:2
atibalA		atibalā	45	77	balā:24|nāgabalā:5|aśvagandhā:3|grah:2|vidārī:2|jīvantī:2|suparṇikā:1|mahat:1|balikā:1|nāśana:1|balyā:1|jñāna:1
atibAhu		atibāhu	2	2	svedaja:1|vardhay:1
atiBAra		atibhāra	28	34	daiva:5|puṣpa:2|bhāra:2|pakṣin:1|agra:1|samartha:1|śālva:1|pārtha:1|buddhīndriya:1|medinī:1|kāla:1|dīrghasūtrin:1
atiBAraga		atibhāraga	2	2	miśraśabda:1|tva:1
atiBUmi		atibhūmi	4	4	rāga:1|jan:1|pauruṣa:1|gocara:1
atiBojana		atibhojana	9	9	vyāyāma:1|pravac:1|śuṣka:1|āyāsa:1|agni:1|cāpalya:1|dīp:1|śīta:1|varjay:1
atimati		atimati	1	1	vākya:1
atimarSa		atimarśa	9	10	śaṁs:2|tejiṣṭha:1|vālakhilyā:1|pragātha:1|atimarśa:1|prāṇa:1|vihṛ:1|paśu:1|ātman:1
atimAtra		atimātra	136	175	viṣama:4|doṣa:4|anna:3|vyāyāma:3|tva:3|lavaṇa:3|prasaṅga:3|uṣṇa:3|sātmya:2|manas:2|śīta:2|śiras:2
atimAna		atimāna	2	2	gaṇa:1|jegīy:1
atimAnin		atimānin	15	17	tā:3|anādya:1|dānava:1|agrāhya:1|vipad:1|bāla:1|śoka:1|dṛś:1|adroha:1|prajñā:1|āhava:1|pāṇḍava:1
atimAnuza		atimānuṣa	39	67	karman:18|kṛ:5|dṛś:3|prāṇa:3|bhū:2|vikrama:2|sattva:2|ativāda:1|adbhuta:1|gandharva:1|śru:1|bhīma:1
atimAruta		atimāruta	3	5	ardharātra:2|bhuj:2|varuṇa:1
atimukta		atimukta	10	10	bhuj:1|yūthī:1|kaṣāya:1|bālā:1|puṇḍraka:1|latikā:1|vaṭa:1|latā:1|aṅkura:1|puṣpa:1
atimuktaka		atimuktaka	26	29	phulla:2|latā:2|campaka:2|suvasanta:1|maṇḍaka:1|kālaskandha:1|ākhyā:1|rathadru:1|ketaka:1|tilaka:1|kesara:1|kubjaka:1
atimukti		atimukti	2	5	mukti:4|campaka:1
atimftyu		atimṛtyu	3	5	ātman:2|saptavidha:2|kṛ:1
atimodA		atimodā	4	4	navamallikā:1|mokṣa:1|gandhakusumā:1|graiṣmī:1
atiyava		atiyava	2	2	yava:1|vāsantī:1
atiyaSas		atiyaśas	4	4	rājan:1|aśeṣa:1|loka:1|puṇya:1
atiyAja		atiyāja	2	2	parvata:1|rākṣasa:1
atiyoga		atiyoga	112	179	ayoga:19|vamana:7|ādi:5|yoga:5|mithyāyoga:5|rakta:4|śarīra:3|kāla:3|saṁdhāraṇa:3|pipāsā:3|pitta:3|jīvādāna:3
atiraMhas		atiraṁhas	2	2	mahiṣa:1|ādi:1
atirakta		atirakta	2	3	ikṣvāku:2|tyaj:1
atiraTa		atiratha	78	125	ratha:19|śūra:4|droṇa:3|arjuna:3|tarasvin:3|rājan:3|saṁkhya:3|saṁkhyā:3|śara:3|nṛpa:3|ikṣvāku:2|loka:2
atirasA		atirasā	14	15	maṇḍūkaparṇī:2|mūrvā:1|timiṅgila:1|rasāḍhyā:1|smṛ:1|madhurasā:1|daśan:1|śvetā:1|sugandhimūlā:1|ṛṣabhī:1|śreyasī:1|jīvantī:1
atirAtra		atirātra	66	107	agniṣṭoma:10|phala:5|aptoryāma:4|uktha:4|prāyaṇīya:4|agniṣṭut:3|sudyumna:3|vairūpa:3|paścima:3|yajña:3|pāra:3|uttara:2
atiruc		atiruc	17	18	dhanvan:2|muhūrta:1|saṁgrah:1|tejas:1|pratipālay:1|saṁnyāsa:1|prabhā:1|jña:1|sainya:1|alaṁkṛ:1|dhṛṣṭadyumna:1|śātay:1
atirucira		atirucira	2	2	ambara:1|rasā:1
atirUpa	1	atirūpa	4	4	tejasvin:1|pramadā:1|viṣa:1|bhṛti:1
atirUpa	2	atirūpa	4	4	tejasvin:1|pramadā:1|viṣa:1|bhṛti:1
atireka		atireka	65	123	sahasra:18|prabhā:17|guṇa:7|viśeṣa:5|nyūna:4|rasa:3|madhura:3|pṛthivī:3|retas:2|agni:2|ākāśa:2|bhūta:2
atiroga		atiroga	2	2	śoṣa:1|devarāja:1
atilaNGana		atilaṅghana	5	6	śāstra:2|ādya:1|rogādhīśa:1|sambhū:1|jana:1
atiloma		atiloma	5	6	alomaka:2|as:1|vācāṭa:1|keśa:1|vācāla:1
atilomaSa		atilomaśa	2	2	babhru:1|aṅga:1
ativartana		ativartana	6	6	daśan:1|mala:1|śeṣa:1|daiva:1|kāla:1|as:1
ativartin		ativartin	10	11	śata:2|dharma:1|avidyā:1|chid:1|bhū:1|puruṣa:1|vāraṇa:1|vidhū:1|bhuvana:1|lajjā:1
ativAda		ativāda	41	51	titikṣ:7|atimāna:3|nara:2|vaktra:2|pāruṣya:1|brāhmaṇa:1|bhartsana:1|krodha:1|sādhu:1|kārya:1|mada:1|manyu:1
ativAdin		ativādin	6	6	apriya:1|īrṣu:1|mānin:1|matsarin:1|bhūta:1|bhrātṛvya:1
ativiza		ativiṣa	2	2	artha:1|vibhā:1
ativftti		ativṛtti	7	8	śāsana:2|atiyoga:1|sthā:1|vega:1|rajas:1|daurbalya:1|tāpa:1
ativfdDi		ativṛddhi	10	10	kṣaya:1|sthirā:1|śopha:1|sāmya:1|ruj:1|tumula:1|keśa:1|daraṇa:1|doṣa:1|svapna:1
ativfzwi		ativṛṣṭi	4	4	kāla:1|manda:1|vṛṣṭi:1|kṛ:1
ativela		ativela	6	6	tva:1|kāla:1|bhṛśa:1|arṇava:1|ah:1|sṛp:1
ativyaTana		ativyathana	2	2	niṣpattra:1|utsṛj:1
ativyaTA		ativyathā	1	1	avasthā:1
ativyADin		ativyādhin	2	2	sapatna:1|mahat:1
atiSakti		atiśakti	9	9	dharma:1|anapekṣa:1|devendra:1|viśeṣa:1|martya:1|pūjay:1|as:1|nija:1|prayam:1
atiSakra		atiśakra	1	1	hasta:1
atiSaNkA		atiśaṅkā	3	3	suhṛd:1|pitṛ:1|doṣa:1
atiSaya		atiśaya	189	252	lābha:7|tva:6|kṣaya:6|aiśvarya:5|guṇa:5|artha:4|prabhāva:4|pāna:4|bala:3|anvita:3|duḥkha:3|rūpa:3
atiSayin		atiśayin	9	9	chāyā:1|alaṁkāra:1|rūpa:1|śri:1|buddhi:1|deśa:1|as:1|śrī:1|vibhava:1
atiSarvara		atiśarvara	3	4	rātri:2|parama:1|grah:1
atiSAyana		atiśāyana	2	2	loka:1|bhavat:1
atiSAyin		atiśāyin	11	14	dravya:3|tva:2|pada:1|tamap:1|hetu:1|niravakāśa:1|guṇa:1|pravṛt:1|madhuka:1|loka:1|kāma:1
atiSeza		atiśeṣa	3	3	sattva:1|jāyā:1|karman:1
atiSoBana		atiśobhana	7	7	ātapatra:1|sthāna:1|loka:1|pradhāray:1|bīja:1|tāpay:1|vivāda:1
atiSrezWa		atiśreṣṭha	2	2	doṣa:1|dharma:1
atizWA		atiṣṭhā	2	5	bhūta:4|vāsas:1
atisaMcaya		atisaṁcaya	3	4	kṛ:2|dāra:1|saṁcaya:1
atisaMDAna		atisaṁdhāna	4	4	dṛṣṭi:1|akṣara:1|kṛtaghna:1|pradhāna:1
atisara		atisara	2	2	aindra:1|ākūti:1
atisarga		atisarga	18	19	vara:2|śara:1|ajīrṇin:1|śīghra:1|śata:1|kaśyapa:1|heman:1|paṭu:1|paura:1|praiṣa:1|deveśa:1|rājan:1
atisarjana		atisarjana	4	4	jvalana:1|nirgam:1|viśikha:1|pati:1
atisAMvatsara		atisāṁvatsara	2	2	śīla:1|vṛddhi:1
atisAra		atisāra	147	337	jit:24|jvara:21|ghna:20|pitta:18|rakta:11|kāsa:11|mūrchā:9|āma:7|arśas:7|śleṣman:6|dāha:6|vāta:6
atisArakin		atisārakin	2	2	atisāra:1|kuṣṭha:1
atisArin		atisārin	37	44	pitta:4|śleṣman:2|martya:2|śaṁs:2|jvara:2|arśas:1|tyaj:1|roga:1|hidhmā:1|klam:1|pāyu:1|agnimāndya:1
atisidDi		atisiddhi	2	2	sādhaka:1|śīla:1
atisfzwi		atisṛṣṭi	4	4	brahman:1|da:1|amṛta:1|sṛj:1
atisevA		atisevā	2	2	madya:1|bhū:1
atisOhitya		atisauhitya	4	4	laghu:1|pratibhū:1|vyāyāma:1|agni:1
atistuti		atistuti	2	2	hetu:1|kṣudh:1
atisTira		atisthira	1	1	sthira:1
atisTUla		atisthūla	14	17	kṛśa:2|tva:2|karkaśa:2|brahmavṛkṣa:1|ūrdhva:1|rūkṣa:1|vṛtta:1|grantha:1|atisthaulya:1|vyādhi:1|kṣudra:1|mūka:1
atisvapna		atisvapna	4	4	ālasya:1|karkaśa:1|asvapna:1|agni:1
atIkzRa		atīkṣṇa	7	7	nirlekhana:1|aguru:1|anṛju:1|sukha:1|agra:1|auṣadha:1|agada:1
atIndriya		atīndriya	71	110	artha:6|tva:5|sūkṣma:5|liṅga:4|varṇa:4|indriya:4|ādi:3|vijñā:3|sāmānyatodṛṣṭa:3|grah:2|sanātana:2|śam:2
atIsAra		atīsāra	170	366	jvara:28|nāśana:17|chardi:14|kāsa:13|pitta:11|grahaṇī:11|rakta:11|āma:9|śopha:9|dāha:8|hṛd:8|tṛṣṇā:7
atIsArakin		atīsārakin	2	2	ūṣman:1|as:1
atura		atura	2	2	tura:1|vedanā:1
atula		atula	203	348	praharṣa:19|vikrama:11|prīti:9|bala:9|prabhāva:8|prabhā:7|pavitra:7|āścarya:6|śrīmat:5|kīrti:5|mahat:5|vīrya:5
atUrta	1	atūrta	4	4	antarikṣa:1|kara:1|sava:1|savitṛ:1
atUrta	2	atūrta	4	4	antarikṣa:1|kara:1|sava:1|savitṛ:1
atfdila		atṛdila	2	2	tṛdila:1|rājan:1
atfpa		atṛpa	2	2	kṛdhu:1|adri:1
atfzita		atṛṣita	2	2	pīvas:1|śānti:1
atfzRaj		atṛṣṇaj	2	2	atṛṣita:1|atṛṣṇaj:1
atfzya		atṛṣya	3	4	akṣudhya:2|as:1|gṛha:1
atejas		atejas	7	11	kṛ:5|akṣudhya:1|vādin:1|aguru:1|tejasvin:1|ayajvan:1|śukla:1
atka		atka	26	28	kavi:2|surabhi:2|kṛ:1|amānuṣa:1|nṛ:1|anna:1|śukra:1|yahvī:1|sahasra:1|nava:1|starī:1|pur:1
atti	1	atti	3	3	iṭ:1|jāta:1|arti:1
atti	2	atti	3	3	iṭ:1|jāta:1|arti:1
attikA		attikā	3	3	akṣita:1|svasṛ:1|bhaginī:1
atya		atya	83	116	vāja:9|vājin:8|aśva:3|indu:3|kavi:3|ratha:3|hari:3|sapti:2|mah:2|agni:2|śavas:2|divya:2
atyagni		atyagni	2	2	durvama:1|arvan:1
atyagnizwoma		atyagniṣṭoma	4	9	agniṣṭoma:4|ukthya:3|arśasa:1|nirūh:1
atyaNkuSa		atyaṅkuśa	1	1	ukthya:1
atyaDvan		atyadhvan	3	3	atiprasaṅga:1|dānava:1|vivarjay:1
atyanta		atyanta	365	566	sukha:33|tva:14|abhāva:12|bhagavant:11|vairin:10|ekānta:8|aś:7|duḥkha:6|niṣṭhā:5|nirmala:5|sādhaka:4|durlabha:4
atyantagati		atyantagati	1	1	iṣīkā:1
atyantABAva		atyantābhāva	5	5	abhāva:1|piṣ:1|anyonyābhāva:1|pratiyogitāka:1|pratiyogin:1
atyantika	1	atyantika	3	3	aikāntika:1|ric:1|as:1
atyantika	2	atyantika	3	3	aikāntika:1|ric:1|as:1
atyantIna		atyantīna	2	2	anukāmīna:1|mokṣa:1
atyamla		atyamla	2	2	saṁkhyā:1|puṅkha:1
atyaya		atyaya	200	331	kāla:21|māsa:16|mahat:12|prāṇa:9|hima:9|prasū:8|as:6|atyaya:6|rājan:5|rātri:5|śarīra:4|dina:4
atyarTa		atyartha	143	171	madhura:5|vedanā:5|doṣa:4|tīkṣṇa:3|śītala:3|as:2|agni:2|śukla:2|dhātu:2|rūkṣa:2|uṣṇa:2|ghora:2
atyavi		atyavi	6	8	vana:3|vaistārika:1|dhārā:1|krīḍ:1|ṛṣ:1|svar:1
atyaSana		atyaśana	12	13	atipāna:2|kṣudhā:1|tīkṣṇa:1|bandhana:1|bhṛtya:1|kṛ:1|atinidrā:1|anna:1|dāha:1|bhuj:1|karśana:1|vid:1
atyazwi		atyaṣṭi	2	2	aticchandas:1|hi:1
atyAkAra		atyākāra	1	1	ślāghā:1
atyAdara		atyādara	2	2	tva:1|piṣṭa:1
atyAdAna		atyādāna	6	6	vīpsā:1|rasa:1|anādāna:1|atiyoga:1|guru:1|rakta:1
atyADAna		atyādhāna	2	2	udghana:1|ādi:1
atyApti		atyāpti	1	1	saṁtoṣa:1
atyAya		atyāya	3	3	kāma:1|prajā:1|vac:1
atyASramin		atyāśramin	1	1	pātra:1
atyAhita		atyāhita	8	8	prayāsa:1|satya:1|pṛthagjana:1|pāra:1|vyasanin:1|mahat:1|droha:1|vyavahāra:1
atyugra		atyugra	4	4	vāhlīka:1|gauḍa:1|rāmaṭha:1|bhūtanāśana:1
atyutkawa		atyutkaṭa	3	3	kṣaya:1|jantughna:1|mala:1
atyutsAha		atyutsāha	1	1	pāpa:1
atyUha		atyūha	3	3	kokila:1|parama:1|priyātmaja:1
atra	1	atra	12	14	āntra:2|udara:2|guṇatraya:1|maula:1|mātra:1|pravac:1|pāda:1|hetu:1|mahat:1|upeṣ:1|kṣatra:1|āp:1
atra	2	atra	12	14	āntra:2|udara:2|guṇatraya:1|maula:1|mātra:1|pravac:1|pāda:1|hetu:1|mahat:1|upeṣ:1|kṣatra:1|āp:1
atra	3	atra	12	14	āntra:2|udara:2|guṇatraya:1|maula:1|mātra:1|pravac:1|pāda:1|hetu:1|mahat:1|upeṣ:1|kṣatra:1|āp:1
atra	4	atra	12	14	āntra:2|udara:2|guṇatraya:1|maula:1|mātra:1|pravac:1|pāda:1|hetu:1|mahat:1|upeṣ:1|kṣatra:1|āp:1
atrapa		atrapa	4	4	chāttra:1|bhṛ:1|rājan:1|muc:1
atri		atri	225	469	marīci:27|aṅgiras:25|vasiṣṭha:25|putra:17|vac:10|bhṛgu:9|pulastya:9|anasūyā:7|dakṣa:7|bhagavat:6|brahman:6|kaśyapa:6
atridfgja		atridṛgja	2	2	vidhu:1|sūrya:1
atrin		atrin	37	46	rakṣas:3|sah:3|agni:2|ketu:2|pā:2|viṣkandha:2|han:2|nirṛti:1|sidh:1|apraja:1|martya:1|as:1
atrisaMhitA		atrisaṁhitā	1	1	praśaṁs:1
atvaramARa		atvaramāṇa	3	3	jala:1|smi:1|yāc:1
atvarA		atvarā	3	5	akrodha:2|praśaṁs:2|ah:1
aTa		atha	1	1	tha:1
aTarya		atharya	2	2	uṣarbudh:1|praśaṁs:1
aTaryu		atharyu	2	2	gṛhapati:1|samāpatti:1
aTarva		atharva	10	11	uttara:2|nāman:1|sāmaveda:1|asita:1|maitra:1|sāman:1|śiras:1|nṛtya:1|pratiṣṭhā:1|muṇḍa:1
aTarvaRa		atharvaṇa	8	8	uttara:1|jyeṣṭha:1|abhiśastaka:1|sāmaveda:1|upasarga:1|ghoṣa:1|nināday:1|mantra:1
aTarvan		atharvan	111	208	aṅgiras:17|sāman:12|ṛṣi:6|śiras:5|agni:5|āṅgirasa:5|ātharvaṇa:5|veda:4|daiva:4|deva:4|hṛdaya:3|bhagavat:3
aTarvaveda		atharvaveda	34	48	vid:9|sāmaveda:3|brāhmaṇa:3|itihāsaveda:2|yajus:2|śiraupaniṣad:1|guṇa:1|samāp:1|upāṅga:1|anutpādya:1|sāman:1|ātharvaṇa:1
aTarvaSiras		atharvaśiras	20	23	adhyetṛ:3|rudra:2|śatasahasra:1|adhī:1|yuga:1|agni:1|pū:1|sāman:1|mantra:1|gītā:1|anvita:1|sūkta:1
aTarvANgirasa		atharvāṅgirasa	6	10	sāmaveda:3|itihāsa:3|kuśala:1|kumbhasūkta:1|sāman:1|dvija:1
aTarvARa		atharvāṇa	2	2	vipra:1|mumukṣu:1
aTarvI		atharvī	2	2	dhanasā:1|vid:1
ad	2	ad	19	21	anna:2|kravya:2|pūruṣa:1|kāma:1|kavi:1|vṛkṣa:1|madhu:1|puru:1|suparṇa:1|kṣviṅkā:1|agni:1|janatā:1
adakziRa	1	adakṣiṇa	21	29	yajña:4|havis:4|adakṣa:2|ayajvan:2|nṛpati:1|rūpa:1|mṛ:1|dakṣiṇa:1|anupacāra:1|hṛṣ:1|akāma:1|chidra:1
adakziRa	2	adakṣiṇa	21	29	yajña:4|havis:4|adakṣa:2|ayajvan:2|nṛpati:1|rūpa:1|mṛ:1|dakṣiṇa:1|anupacāra:1|hṛṣ:1|akāma:1|chidra:1
adakziRIya		adakṣiṇīya	1	1	havis:1
adaRqya		adaṇḍya	21	28	rājan:7|daṇḍa:2|kuśala:1|apālayat:1|vipra:1|tva:1|dvija:1|hastin:1|abandhya:1|garbhin:1|avaktavya:1|abahiṣkārya:1
adatka		adatka	2	3	śyeta:2|adatka:1
adatta		adatta	54	76	ādāna:7|śāli:6|sattva:3|ahar:3|kanyā:3|sva:2|pitṛ:2|sthā:2|mūlya:2|pañcaka:2|kara:1|enas:1
adana		adana	24	29	pathin:3|anna:2|mṛttikā:2|yūpa:2|sahasra:1|anādya:1|nind:1|pāna:1|vrata:1|medhya:1|hima:1|māṁsa:1
adabDa		adabdha	71	88	gopā:4|varuṇa:3|vrata:3|aditi:3|pāyu:3|manas:2|sva:2|hotṛ:2|pati:2|citti:2|martya:2|maraṇa:1
adaBa		adabha	2	2	deva:1|āhuti:1
adaBra		adabhra	23	26	karuṇa:3|cakṣus:2|rūpa:1|vṛdh:1|tva:1|śruta:1|karuṇā:1|dayā:1|abhyantara:1|darbha:1|carita:1|abhra:1
adamBa	1	adambha	10	11	dambha:2|niṣṭhā:1|āditya:1|brahman:1|bhrātṛ:1|kumbha:1|mahat:1|gajavadana:1|deva:1|vaidambha:1
adamBa	2	adambha	10	11	dambha:2|niṣṭhā:1|āditya:1|brahman:1|bhrātṛ:1|kumbha:1|mahat:1|gajavadana:1|deva:1|vaidambha:1
adaya		adaya	11	12	hṛdaya:2|vātāma:1|amāyā:1|auttarāpathika:1|hasta:1|bala:1|pāta:1|upagūhana:1|āliṅgana:1|sahas:1|vical:1
adarSana	1	adarśana	154	229	deva:13|gam:9|darśana:9|brāhmaṇa:6|abhāva:5|ādi:4|kāraṇa:4|vac:3|kāla:3|ja:3|rājan:3|bandha:3
