k1	hom	lemma_iast	total_occ	cooccur	collocates
akzamAlA		akṣamālā	30	35	aṅkuśa:4|vasiṣṭha:2|dakṣa:2|hasta:1|yajñasūtra:1|koṭi:1|mṛtyuṁjaya:1|kalāpaka:1|kuṇḍin:1|nibandh:1|aṅgulīyaka:1|śiṣya:1
akzaya		akṣaya	323	750	loka:42|avyaya:28|bhū:26|phala:24|tva:18|dā:16|pitṛ:13|kāla:12|dāna:10|śrāddha:9|aprameya:9|svarga:8
akzayaguRa		akṣayaguṇa	1	1	doṣa:1
akzayya		akṣayya	111	190	mahat:16|anna:8|uttama:5|udaka:5|dhana:4|kāraka:4|gāṇḍīva:4|dhruva:4|dhanus:4|sukha:3|loka:3|tā:3
akzara		akṣara	7	12	vidyā:3|parama:2|ṣaṣ:2|aṣṭan:2|pañcan:1|navan:1|aṣṭādaśan:1
akzaracaRa		akṣaracaṇa	2	2	lipikāra:1|lekhaka:1
akzaracuYcu		akṣaracuñcu	2	2	akṣaracaṇa:1|bṛhatī:1
akzarapaNkti	1	akṣarapaṅkti	11	20	chandas:5|stoma:3|chandoma:3|pū:2|akṣaracuñcu:1|vājin:1|jyaiṣṭhya:1|ayātayāman:1|samudra:1|vad:1|dakṣa:1
akzarapaNkti	2	akṣarapaṅkti	11	20	chandas:5|stoma:3|chandoma:3|pū:2|akṣaracuñcu:1|vājin:1|jyaiṣṭhya:1|ayātayāman:1|samudra:1|vad:1|dakṣa:1
akzarya		akṣarya	5	7	padya:2|virāj:2|sahasrin:1|loka:1|ṛṣi:1
akzasUtra		akṣasūtra	14	16	pātra:2|kara:2|kitava:1|prāharaṇa:1|mālā:1|bāhu:1|ratna:1|kamaṇḍalu:1|da:1|pravrajyā:1|pusta:1|svarūpa:1
akzAnti		akṣānti	4	4	virāj:1|upadeśa:1|īrṣyā:1|prīti:1
akzAvApa		akṣāvāpa	1	1	prāpti:1
akzi		akṣi	518	1058	karṇa:47|roga:41|śiras:32|nāsā:22|nāsikā:19|pāda:19|mukha:13|bhrū:13|tarpaṇa:12|pāka:12|dakṣiṇa:11|śrotra:10
akzika		akṣika	2	2	śiras:1|ṣaṣ:1
akzikUwa		akṣikūṭa	18	27	śūna:4|śiras:3|gaṇḍa:2|nāsā:2|vadana:2|śaṣkulī:2|karṇaputraka:1|lavaṇa:1|akṣi:1|kaṇḍu:1|nidrā:1|kakṣa:1
akzikUwaka		akṣikūṭaka	2	2	īṣikā:1|vadana:1
akzigata		akṣigata	3	3	śreṣṭha:1|as:1|arthin:1
akzita		akṣita	59	76	dhārā:4|samudra:3|darvī:3|utsa:3|sva:2|dhā:2|pājas:2|indra:2|vah:2|loka:2|pradā:2|duh:2
akzitAvasu		akṣitāvasu	2	2	vibhūti:1|āpyāyay:1
akziti		akṣiti	15	25	śrotra:3|kṣiti:3|śravas:3|tva:2|svarga:2|yajña:2|puruṣa:2|anna:1|vid:1|ayātayāma:1|aitaśapralāpa:1|saptan:1
akzitoti		akṣitoti	5	5	sad:1|dā:1|vāja:1|gir:1|avata:1
akziBezaja		akṣibheṣaja	4	4	ghanatvac:1|artha:1|jīrṇapattra:1|śvetalodhra:1
akziBruva		akṣibhruva	4	4	danta:1|oṣṭha:1|vāṅmanasa:1|nikocana:1
akzIyamARa		akṣīyamāṇa	5	5	meṣī:1|bīja:1|rājan:1|artha:1|śak:1
akzu		akṣu	3	3	māhina:1|aśvattha:1|aṁhas:1
