slice_order	k1_slp1	count_all	periods_sum	coverage_pct
1	ca	155088	176104	
2	tad	151248	169174	
3	na	53981	107116	
4	mad	49367	98248	0.0257732
5	eva	45884	90982	0.00105013
6	yad	45466	90031	
7	iti	44379	88153	
8	idam	36787	73259	
9	api	34022	67433	
10	BU	32612	64572	0.0640279
11	sarva	31377	62106	0.00132016
12	vac	30970	61391	0.929154
13	as	24567	48761	0.73065
14	etad	24239	48272	
15	taTA	22741	45053	
16	tatas	21960	43621	
17	hi	19452	38661	0.00534066
18	vA	19249	38158	0.00636078
19	rAjan	17082	34005	0.512523
20	iva	16240	32423	
21	gam	15950	31678	0.478229
22	deva	15141	29991	0.00273034
23	dfS	14755	29324	0.0126616
24	Adi	14203	27629	0.426142
25	aTa	14105	28044	
26	tatra	13768	27177	
27	evam	13163	26204	
28	sa	13017	25838	
29	arTa	12546	24850	0.376426
30	ka	12187	24175	
31	yaTA	11776	23439	
32	Darma	11534	22940	0.346062
33	su	11408	22658	0.0180322
34	Atman	11147	22161	0.334451
35	punar	10749	21365	
36	eka	10275	20314	
37	putra	10176	20266	0.305317
38	dA	9987	19816	0.00282035
39	loka	9824	19480	0.294756
40	agni	9689	19286	0.290706
41	tva	9633	19126	0.287975
42	Sru	9431	18714	0.282695
43	vid	9384	18673	0.0529265
44	rasa	9348	18519	0.280474
45	anya	9324	18516	
46	para	8813	17411	
47	karman	8625	17082	0.258782
48	indra	8452	16825	0.253591
49	sva	8376	16539	0.00939115
50	han	8257	16436	0.0261332
51	sTA	7882	15623	0.235649
52	brahman	7813	15383	0.0841903
53	kAla	7662	15176	0.00468057
54	tadA	7650	15195	
55	jan	7380	14627	0.221337
56	bala	7315	14579	0.217257
57	rUpa	7308	14500	0.219267
58	tri	6759	13407	0.202525
59	raTa	6437	12860	0.193134
60	atra	6130	12147	
61	Pala	5982	11798	0.179332
62	saha	5936	11787	0.00612075
63	guRa	5780	11482	0.173421
64	iha	5697	11344	
65	manas	5528	10962	0.16586
66	sama	5474	10854	0.00213026
67	yuj	5373	10673	0.00342042
68	prAp	5288	10485	0.158659
69	puruza	5208	10346	0.156259
70	kAma	5167	10214	0.154999
71	yA	5103	10099	0.000630077
72	vara	5055	10012	0.000360044
73	nara	5011	9909	0.150348
74	guru	4857	9500	0.0456956
75	Sata	4789	9495	0.143688
76	fzi	4714	9386	0.141437
77	brAhmaRa	4709	9355	0.00420052
78	yadi	4703	9322	
79	bahu	4668	9248	0.140057
80	jYA	4568	9058	0.136547
81	doza	4565	9088	0.136787
82	iz	4534	9002	0.00882108
83	yoga	4526	8974	0.135797
84	Bagavant	4488	8760	0.134657
85	yat	4488	8912	0.0152719
86	muni	4416	8744	0.132046
87	pUrva	4404	8668	
88	tapas	4400	8662	0.131716
89	go	4319	8551	0.129586
90	pA	4243	8439	0.00189023
91	nAma	4227	8391	
92	BUta	4215	8373	0.125895
93	SrI	4152	7966	0.00945116
94	sahasra	4134	8206	0.124035
95	parama	4128	8141	0.123795
96	uttama	4123	8122	0.122925
97	man	4122	8182	0.123465
98	Sara	4026	8048	0.120795
99	muKa	4007	7934	0.00513063
100	adas	3981	7894	
101	a	3970	7448	
102	priya	3968	7853	0.00552068
103	anta	3936	7692	0.118095
104	ja	3924	7802	0.117524
105	sattva	3883	7735	0.0283535
106	yatra	3831	7599	
107	namas	3814	7476	0.114434
108	yajYa	3743	7441	0.112304
109	strI	3737	7405	0.112124
110	pApa	3733	7292	0.0363345
111	kfzRa	3716	7222	0.00138017
112	pARqava	3699	7396	0.109663
113	satya	3694	7332	0.0358844
114	ha	3659	7220	
115	vana	3658	7284	0.109693
116	vAta	3634	7254	0.109033
117	rAma	3631	7249	0.108463
118	ati	3619	7186	
119	maDya	3601	7123	0.0123315
120	tasmAt	3598	7146	
121	vIra	3549	7086	0.000510063
122	kaTam	3543	7071	
123	jana	3519	6946	0.105583
124	suKa	3515	6971	0.0224728
125	aNga	3490	6858	0.0040805
126	tejas	3472	6911	0.104173
127	sUta	3455	6811	0.0419452
128	pati	3430	6819	0.102823
129	divya	3424	6782	0.00126015
130	suta	3419	6801	0.0984121
131	kara	3384	6676	0.0349843
132	kaTay	3328	6600	0.0998523
133	varRa	3299	6520	0.0989822
134	prARa	3285	6537	0.0985621
135	nfpa	3280	6448	0.0984121
136	ji	3273	6510	0.097962
137	pAda	3273	6404	0.0982021
138	adya	3268	6512	
139	A	3267	6464	
140	antara	3224	6398	0.0479159
141	atas	3217	6350	
142	muc	3213	6392	0.0957718
143	catur	3181	6298	0.0953817
144	mUla	3180	6304	0.0950217
145	duHKa	3169	6300	0.0917813
146	vAc	3128	6207	0.0938515
147	mA	3119	6217	0.0133516
148	vipra	3117	6140	0.00276034
149	jYAna	3104	6118	0.0930714
150	laB	3103	6113	0.0931014
151	mahAtman	3102	6188	0.00117014
152	yAvat	3101	6148	0.0129916
153	pitta	3086	6169	0.0925914
154	car	3059	6072	0.0916613
155	karRa	3044	6054	0.0911512
156	vad	3031	5997	0.0908212
157	sTa	2989	5911	0.089681
158	Baya	2983	5913	0.089351
159	gaRa	2980	5907	0.089411
160	kula	2962	5888	0.0888709
161	Siva	2958	5783	0.00357044
162	varza	2953	5866	0.000600074
163	jala	2952	5839	0.0885709
164	sadA	2946	5799	
