s_kanda	s_sarga	s_verse	c_kanda	c_sarga	c_verse	score	class
1	1	1	1	1	1	0.901	matched
1	1	2	1	1	2	1.0	matched
1	1	3	1	1	3	1.0	matched
1	1	4	1	1	4	0.855	matched
1	1	5	1	1	5	1.0	matched
1	1	6	1	1	6	1.0	matched
1	1	7	1	1	7	1.0	matched
1	1	8	1	1	8	1.0	matched
1	1	9	1	1	9	0.933	matched
1	1	10	1	1	10	0.889	matched
1	1	11	1	1	11	1.0	matched
1	1	12	1	1	12	0.915	matched
1	1	13					southern_only
1	1	14	1	1	13	0.598	matched
1	1	15	1	1	14	1.0	matched
1	1	16	1	1	15	0.907	matched
1	1	17	1	1	16	1.0	matched
1	1	18	1	1	17	1.0	matched
1	1	19	1	1	18	1.0	matched
1	1	20	1	1	19	0.354	fuzzy
1	1	21					southern_only
1	1	22	1	1	20	0.663	matched
1	1	23	1	1	21	1.0	matched
1	1	24	1	1	22	1.0	matched
1	1	25	1	1	23	1.0	matched
1	1	26					southern_only
1	1	27					southern_only
1	1	28					southern_only
1	1	29					southern_only
1	1	30					southern_only
1	1	31	1	1	26	0.377	fuzzy
1	1	32					southern_only
1	1	33					southern_only
1	1	34	1	1	29	0.619	matched
1	1	35					southern_only
1	1	36					southern_only
1	1	37					southern_only
1	1	38					southern_only
1	1	39					southern_only
1	1	40	1	1	32	0.892	matched
1	1	41					southern_only
1	1	42	1	1	34	0.383	fuzzy
1	1	43					southern_only
1	1	44	1	1	35	0.363	fuzzy
1	1	45					southern_only
1	1	46	1	1	36	1.0	matched
1	1	47	1	1	37	1.0	matched
1	1	48					southern_only
1	1	49					southern_only
1	1	50	1	1	39	0.368	fuzzy
1	1	51					southern_only
1	1	52					southern_only
1	1	53	1	1	43	0.35	fuzzy
1	1	54					southern_only
1	1	55	1	1	45	0.352	fuzzy
1	1	56					southern_only
1	1	57	1	1	46	0.721	matched
1	1	58	1	1	47	0.892	matched
1	1	59	1	1	48	1.0	matched
1	1	60					southern_only
1	1	61					southern_only
1	1	62					southern_only
1	1	63	1	1	50	0.364	fuzzy
1	1	64					southern_only
1	1	65					southern_only
1	1	66	1	1	52	1.0	matched
1	1	67	1	1	53	0.738	matched
1	1	68	1	1	54	1.0	matched
1	1	69					southern_only
1	1	70	1	1	55	1.0	matched
1	1	71	1	1	56	1.0	matched
1	1	72	1	1	57	1.0	matched
1	1	73	1	1	58	1.0	matched
1	1	74	1	1	59	1.0	matched
1	1	75	1	1	60	1.0	matched
1	1	76	1	1	61	0.904	matched
1	1	77	1	1	62	1.0	matched
1	1	78	1	1	63	1.0	matched
1	1	79	1	1	64	0.901	matched
1	1	80	1	1	65	1.0	matched
1	1	81					southern_only
1	1	82					southern_only
1	1	83					southern_only
1	1	84					southern_only
1	1	85					southern_only
1	1	86					southern_only
1	1	87					southern_only
1	1	88					southern_only
1	1	89	1	1	70	1.0	matched
1	1	90	1	1	71	0.81	matched
1	1	91	1	1	72	0.89	matched
1	1	92	1	1	73	0.494	fuzzy
1	1	93					southern_only
1	1	94					southern_only
1	1	95					southern_only
1	1	96	1	1	75	1.0	matched
1	1	97	1	1	76	1.0	matched
1	1	98	1	1	77	1.0	matched
1	1	99	1	1	78	1.0	matched
1	1	100	1	1	79	0.926	matched
1	2	1	1	2	1	1.0	matched
1	2	2	1	2	2	0.762	matched
1	2	3	1	2	3	1.0	matched
1	2	4	1	2	4	1.0	matched
1	2	5	1	2	5	1.0	matched
1	2	6	1	2	6	1.0	matched
1	2	7	1	2	7	1.0	matched
1	2	8	1	2	8	1.0	matched
1	2	9	1	2	9	1.0	matched
1	2	10	1	2	10	1.0	matched
1	2	11	1	2	11	1.0	matched
1	2	12					southern_only
1	2	13	1	2	12	0.843	matched
1	2	14	1	2	13	1.0	matched
1	2	15	1	2	14	0.9	matched
1	2	16	1	2	15	1.0	matched
1	2	17	1	2	16	0.807	matched
