slp1	hom	n_pwg_senses	n_pwg_senses_with_ls	n_pwg_ls_total	dcs_lemma_count	n_dcs_wn_senses	dcs_sensetagged_count	sensetagged_share	n_pwg_senses_grounded	n_pwg_senses_gloss_overlap_only	grounding_computed	residual_class
A	2	9	9	221	3267	7	120	0.0367	0	0	0	R0_grounding_not_computed
ABAsa		1	1	34	130	5	26	0.2000	0	0	0	R0_grounding_not_computed
AKarezWa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
AMkfti		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
AQya		3	3	32	519	10	94	0.1811	0	0	0	R0_grounding_not_computed
ASAvaha		1	1	2	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ASuMga		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ASupatvan		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ASvabAla		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
ATarvaRarahasya		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
AYC		1	1	7	6	2	3	0.5000	0	0	0	R0_grounding_not_computed
AdArasft		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Adarakya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
AdityagarBa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Ahananavant		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
AkASagarBa		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
Akftimant		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
AkzArAnta		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
AkzarasamAmnAyika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Akzeptar		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Alasya	1	1	1	29	130	5	13	0.1000	0	0	0	R0_grounding_not_computed
Alindaka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
AmrAtakeSvara		1	1	1	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
Amrya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
