pwg_abbrev	citations	share_pct	status	dcs_text	dcs_tokens	tuple_comparable	scheme_verified	pwgbib_source_name
VIKR	1523	0.2059	DCS-LACKS					VIKRAMORVAŚĪ, ed. BOLLENSEN (GILD. Bibl. 206). Eine einfache Zahl verweist auf einen Śloka, eine doppelte--auf Seite und
KĀṬH	1440	0.1947	DCS-HAS-UNMAPPED	Kāṭhakasaṃhitā	38894	yes		KĀṬHAKA-Recension des YĀJ. V.
RATNAM	1422	0.1923	DCS-LACKS					RATNAMĀLĀ, ein Wörterbuch; nach Anführungen im ŚKDR.
ŚABDAC	1406	0.1901	DCS-LACKS					ŚABDACANDRIKĀ, ein Wörterbuch; nach Anführungen im ŚKDR.
UJJVAL	1334	0.1804	DCS-LACKS					? [Cologne Addition]
KULL	1329	0.1797	DCS-LACKS					KULLŪKA, ein Scholiast des MANU, vollständig abgedruckt unter andern in der Calc. Ausg. von 1830 (GILD. Bibl. 288).
COLEBR. MISC. ESS. II,	1306	0.1766	DCS-LACKS					? [Cologne Addition]
H. Ś	1299	0.1757	DCS-LACKS					die Śeṣa's zu HEMACANDRA'S ABHIDHĀNACINTĀMAṆI (s. unter H.), S. 421--443.
NAIGH	1298	0.1755	DCS-LACKS					das, YĀSKA'S NIRUKTA zu Grunde liegende NAIGHAṆṬUKAKĀṆḌA. S. unter NIR.
UṆĀDIS	1296	0.1753	DCS-LACKS					? [Cologne Addition]
ŚIŚ	1251	0.1692	DCS-LACKS					ŚIŚUPĀLAVADHA, ed. Calc. (GILD. Bibl. 141).
VID	1231	0.1665	DCS-LACKS					Geschichte des VIDŪṢAKA in BÖHTLINGK'S Chrestomathie.
BHARTṚ	1214	0.1642	DCS-LACKS					BHARTṚHARI, Ausg. von BOHLEN (GILD. Bibl. 156), mit Berück- sichtigung des Werkchens; Variae lectiones ad Bohlenii editi
SĀY	1202	0.1625	DCS-LACKS					SĀYAṆA.
NĪLAK	1178	0.1593	DCS-LACKS					A rational refutation of the Hindu philosophical systems by Nehemiah Nīlakaṇṭha, Śāstrí Gore, translated from the origin
GĪT	1138	0.1539	DCS-HAS-UNMAPPED	Gītagovinda	6020	yes		GĪTAGOVINDA, ed. LASSEN (GILD. Bibl. 168).
WILSON, SEL. WORKS	1067	0.1443	DCS-LACKS					
MĀLAV	1062	0.1436	DCS-LACKS					MĀLAVIKĀGNIMITRA, ed. TULLBERG (GILD. Bibl. 209).
WEBER, RĀMAT. UP	1030	0.1393	DCS-LACKS					? [Cologne Addition]
ŚAṂK	1016	0.1374	DCS-LACKS					ŚAṂKARA (ein Scholiast des ŚĀKUNTALA) und ŚAM̃- KARĀCĀRYA.
BURN. INTR	1013	0.1370	DCS-LACKS					? [Cologne Addition]
JAṬĀDH	1010	0.1366	DCS-LACKS					JAṬĀDHARA, ein Lexicograph; nach Anführungen im CKDR.
VS. PRĀT	952	0.1287	DCS-LACKS					PRĀTIŚĀKHYA zur VĀJASANEYISAM̃HITĀ, citirt nach Adhyāya und Sūtra. Hdschr. S. ROTH in der Einl. z. NIR. S. XLVI.
BENF. CHR	942	0.1274	DCS-LACKS					? [Cologne Addition]
SIDDH. K	939	0.1270	DCS-LACKS					SIDDHĀNTAKAUMUDĪ, die Calc. Ausg. in 4º (GILD. Bibl. 245).
PAÑCAT. I,	923	0.1248	DCS-LACKS					PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manuscriptis edidit, commentariis cr
NIGH. PR	919	0.1243	DCS-HAS-UNMAPPED	Nighaṇṭuśeṣa	2003	yes		NIGHAṆṬA PRAKĀŚA von BĀPŪ GAṄGĀDHARA. Bombay 1839. 4º.
WASSILJEW	908	0.1228	DCS-LACKS					В. Васильевъ. Буддизмъ, его догматы, исторія и литература. Часть 1. Общее обозрѣніе. Санктпетербургъ, 1857. ((V. Vasilye
KAP	884	0.1195	DCS-LACKS					KAPILA (The Aphorisms of the Sánkhya Philosophy, of Kapila; with illustrative extracts from the commentaries. I. Allahab
GOBH	882	0.1193	DCS-HAS-UNMAPPED	Gobhilagṛhyasūtra	7399	yes		GOBHILA'S GṚHYASŪTRA; nach Mittheilungen von A. WEBER.
VARĀH. BṚH	862	0.1166	DCS-LACKS					VARĀHAMIHIRA'S BṚHAJJĀTAKA. [Pagè-a+ 33]
ṚT	839	0.1135	DCS-LACKS					ṚTUSAM̃HĀRA, ed. BOHLEN (GILD. Bibl. 155).
ŚĀṄKH. GṚHY	835	0.1129	DCS-HAS-UNMAPPED	Śāṅkhāyanaśrautasūtra	20886	yes		ŚĀṄKHĀYANA'S GṚHYASŪTRĀṆI.
ŚĀṄKH. BR	810	0.1095	DCS-HAS-UNMAPPED	Śāṅkhāyanaśrautasūtra	20886	yes		ŚĀṄKHĀYANA'S BRĀHMAṆA.
PĀR. GṚHY	778	0.1052	DCS-HAS-UNMAPPED	Pāraskaragṛhyasūtra	8131	yes		PĀRASKARA'S GṚHYASŪTRĀṆI.
JOURN. OF THE AM. OR. S	776	0.1049	DCS-LACKS					
ŚABDAM	772	0.1044	DCS-LACKS					ŚABDAMĀLĀ, ein Wörterbuch; nach Anführungen im ŚKDR.
