pwg_abbrev	citations	share_pct	status	dcs_text	dcs_tokens	tuple_comparable	scheme_verified	pwgbib_source_name
MED. Y	311	0.0421	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
GORR	308	0.0416	DCS-LACKS					GORRESIO.
VERZ. D. OXF. H. NO	308	0.0416	DCS-LACKS					
ŚRUT	303	0.0410	DCS-LACKS					ŚRUTABODHA in der Zeitschrift für die Kunde des Morgenlan- des, IV, S. 60 fgg. Ein dabeistehendes BR. verweist auf die v
R. ED. BOMB	291	0.0394	DCS-HAS-UNMAPPED	Rāmāyaṇa	261568	no		RĀMĀYAṆA. Ohne eine nähere Angabe ist bei den zwei ersten Büchern die Ausgabe von SCHLEGEL (GILD. Bibl. 84), bei den vie
SUND	280	0.0379	DCS-LACKS					SUNDOPASUNDOPĀKHYĀNA, ed. BOPP (GILD. Bibl. 97).
KAUṢ. UP	280	0.0379	DCS-HAS-UNMAPPED	Kauṣītakibrāhmaṇa	15331	yes		KAUṢĪTAKYUPANIṢAD.
WEBER, NAX	277	0.0375	DCS-LACKS					
UṆĀDIK	275	0.0372	DCS-LACKS					UṆĀDIKOṢA, nach Anführungen im ŚKDR.
MUṆḌ. UP	273	0.0369	DCS-HAS-UNMAPPED	Muṇḍakopaniṣad	1285	yes		MUṆḌAKOPANIṢAD in der Bibliotheca indica.
MÜLLER, SL	273	0.0369	DCS-LACKS					? [Cologne Addition]
AUFRECHT	272	0.0368	DCS-LACKS					? [Cologne Addition]
MIT	258	0.0349	DCS-LACKS					MITĀKṢARĀ, ed. Calc. 1829 (GILD. Bibl. 314).
ŚĀK. CH	258	0.0349	DCS-LACKS					CHEZY'S Ausgabe des ŚĀKUNTALA (GILD. Bibl. 187).
SCHL	255	0.0345	DCS-LACKS					? [Cologne Addition]
UTTARARĀMAC	253	0.0342	DCS-LACKS					= ? [Cologne Addition]
ŚĀNTIŚ	253	0.0342	DCS-LACKS					ŚIHLANA'S ŚĀNTIŚATAKA in HAEBERLIN'S Anthology, S. 410. fgg.
YOGAS	251	0.0339	DCS-HAS-UNMAPPED	Yogasūtrabhāṣya	10012	no		YOGASŪTRA (The Aphorisms of the Yoga Philosophy of Patan- jali. l. Allahabad 1852. II. ebend. 1853.).
MED. Ṇ	250	0.0338	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
VĀGBH	247	0.0334	DCS-LACKS					? [Cologne Addition]
BRĀHMAṆ	236	0.0319	DCS-LACKS					BRĀHMAṆAVILĀPA in BOPP'S Ardschuna's Reise zu Indra's Himmel u. s. w. Berlin 1824.
BURNOUF, INTR	236	0.0319	DCS-LACKS					
TARKAS	233	0.0315	DCS-LACKS					? [Cologne Addition]
DHAR	232	0.0314	DCS-LACKS					DHARAṆĪKOṢA, ein Wörterbuch; nach Anführungen im CKDR.
BURNOUF	230	0.0311	DCS-LACKS					? [Cologne Addition]
WILSON, SEL. WORKS I,	230	0.0311	DCS-LACKS					
HIT. PR	228	0.0308	DCS-HAS-UNMAPPED	Hitopadeśa	25040	yes		HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl bezeichnet das Buch, eine arab
MUIR, ST	226	0.0306	DCS-LACKS					MUIR, Sanskr. Texts ?
R. SCHL	226	0.0306	DCS-HAS-UNMAPPED	Rāmāyaṇa	261568	no		RĀMĀYAṆA. Ohne eine nähere Angabe ist bei den zwei ersten Büchern die Ausgabe von SCHLEGEL (GILD. Bibl. 84), bei den vie
VĀYU-P	225	0.0304	DCS-LACKS					VĀYUPURĀṆA.
CHANDOM	225	0.0304	DCS-LACKS					CHANDOMAÑJARĪ, ein Werk über Metrik; nach Anführungen im ŚKDR.
GṚHY	223	0.0302	DCS-LACKS					? [Cologne Addition]
PRAŚNOP	222	0.0300	DCS-LACKS					PRAŚNOPANIṢAD, nach der Ausgabe von RÖER in der Biblio- theca indica.
KAṆ	221	0.0299	DCS-LACKS					? [Cologne Addition]
BURN	219	0.0296	DCS-LACKS					? [Cologne Addition]
HIOUEN-THSANG I,	219	0.0296	DCS-LACKS					Histoire de la vie de HIOUEN-THSANG et de ses voya- ges dans l'Inde, traduite du Chinois par STANISLAS YULIEN. Paris 185
KUVALAY	216	0.0292	DCS-LACKS					KUVALAYĀNANDA (Rhetorik) von APYADĪKṢITA mit dem ALAM̃- KĀRACANDRIKĀ genannten Commentar des VAIDYANĀTHA. Pūna 1846. 176
WEBER, LIT	214	0.0289	DCS-LACKS					
MED. AVY	213	0.0288	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
GILD. BIBL	213	0.0288	DCS-LACKS					Scriptorum Arabum de Rebus Indi- cis loci et opuscula inedita. Ad codicum Pariss. etc. fidem recensuit et illustravit Y.
