kind	affix	iast	n_distinct_roots
upasarga	vi		141
upasarga	sam		130
upasarga	pra		121
upasarga	pari		106
upasarga	A		104
upasarga	ud		90
upasarga	aBi		66
upasarga	upa		63
upasarga	anu		60
upasarga	ni		58
upasarga	ava		53
upasarga	nis		47
upasarga	prati		41
upasarga	apa		41
upasarga	ati		18
upasarga	aDi		16
upasarga	samA		12
upasarga	parA		11
upasarga	vini		10
upasarga	upA		8
upasarga	vipra		8
upasarga	vyA		8
upasarga	vyati		7
upasarga	samava		6
upasarga	samud		6
upasarga	pra 		6
upasarga	vi 		6
upasarga	A 		5
upasarga	pratyA		5
upasarga	vipari		4
upasarga	aByud		4
upasarga	nir		4
upasarga	samupa		4
upasarga	uda		4
upasarga	apA		4
upasarga	upa 		4
upasarga	ap		3
upasarga	up		3
upasarga	aBivi		3
upasarga	sampra		3
upasarga	anvA		3
upasarga	aByA		3
upasarga	pratyud		3
upasarga	vyapa		3
upasarga	prativi		3
upasarga	saMpra		3
upasarga	sam 		3
upasarga	tiras		3
upasarga	aDyA		3
upasarga	paryA		3
upasarga	antara		3
upasarga	vinis		3
upasarga	anusam		3
upasarga	praRi		3
upasarga	vyava		3
upasarga	paryava		3
upasarga	aBipra		2
upasarga	Avis		2
upasarga	prAdus		2
upasarga	Atman		2
upasarga	anupra		2
upasarga	aByupa		2
upasarga	parisam		2
upasarga	aBi 		2
upasarga	samA 		2
upasarga	pari 		2
upasarga	nis 		2
upasarga	prati 		2
upasarga	dus		2
upasarga	puras		2
upasarga	saMni		2
upasarga	samaDi		2
upasarga	ud 		2
upasarga	paScAt		2
upasarga	api		2
upasarga	paYcatA		2
upasarga	paYcatvam		2
upasarga	samprati		2
upasarga	prA		2
upasarga	sama		2
upasarga	saM		2
upasarga	ut		1
upasarga	samapri		1
upasarga	upani		1
upasarga	parini		1
upasarga	paryud		1
upasarga	sani		1
upasarga	vaSaM		1
upasarga	vaSI		1
upasarga	paryupa		1
upasarga	samup		1
upasarga	antar		1
upasarga	apehi		1
upasarga	samanu		1
upasarga	saMprati		1
upasarga	utpra		1
upasarga	udvi		1
upasarga	apavi		1
upasarga	nirvi		1
upasarga	kad 		1
upasarga	ni 		1
upasarga	anu 		1
upasarga	samanu 		1
upasarga	pratyA 		1
upasarga	aNgI		1
upasarga	aByantarI		1
upasarga	alam		1
upasarga	urI		1
upasarga	urarI		1
upasarga	ururI		1
upasarga	UrI		1
upasarga	UrarI		1
upasarga	tvam		1
upasarga	dakziRI		1
upasarga	pradakziRI		1
upasarga	Dik		1
upasarga	namas		1
upasarga	nirA		1
upasarga	nyak		1
upasarga	pramARI		1
upasarga	pratyupa		1
upasarga	sAcI		1
upasarga	KaRqaSaH		1
upasarga	samupA		1
upasarga	Di		1
upasarga	samudra		1
upasarga	vyaBi		1
upasarga	ava 		1
upasarga	A  		1
upasarga	prod		1
upasarga	vyApa		1
upasarga	atisam		1
upasarga	aBisam		1
upasarga	DA		1
upasarga	ni*		1
upasarga	pravi		1
upasarga	Srad		1
upasarga	sanni		1
upasarga	samUd		1
upasarga	proda		1
upasarga	aByapa		1
upasarga	padam		1
upasarga	mUDnipadam		1
upasarga	pIq		1
upasarga	nisa		1
upasarga	a		1
upasarga	garBa		1
upasarga	padaM		1
upasarga	AspadaM		1
upasarga	AntaraM		1
upasarga	cetanAM		1
upasarga	saMjYA		1
upasarga	janma		1
upasarga	visam		1
upasarga	aBini		1
upasarga	pratini		1
upasarga	viprati		1
upasarga	pratyaya		1
upasarga	samut		1
upasarga	aByava		1
upasarga	udA		1
upasarga	karaH		1
upasarga	mahI		1
suffix	क्त	kta	270
suffix	टाप्	ṭāp	240
suffix	ल्युट्	lyuṭ	237
suffix	अच्	ac	235
suffix	अण्	aṇ	223
suffix	घञ्	ghañ	212
suffix	कन्	kan	148
suffix	ङीप्	ṅīp	120
suffix	इनि	ini	119
suffix	ठक्	ṭhak	118
suffix	ष्यञ्	ṣyañ	116
suffix	क	ka	111
suffix	क्तिन्	ktin	107
suffix	ण्वुल्	ṇvul	78
suffix	यत्	yat	72
suffix	ङीष्	ṅīṣ	71
suffix	क्विप्	kvip	64
suffix	ण्यत्	ṇyat	61
suffix	णिनि	ṇini	56
suffix	इन्	in	53
suffix	मतुप्	matup	51
suffix	इतच्	itac	44
suffix	ड	ḍa	43
suffix	अप्	ap	42
suffix	तृच्	tṛc	39
suffix	ठञ्	ṭhañ	35
suffix	असुन्	asun	29
suffix	ठन्	ṭhan	28
suffix	छ	cha	26
suffix	ढक्	ḍhak	23
suffix	कु	ku	22
suffix	उ	u	22
suffix	ख	kha	22
suffix	रक्	rak	22
suffix	मनिन्	manin	21
suffix	शानच्	śānac	20
suffix	तसिल्	tasil	19
suffix	इ	i	19
suffix	शतृ	śatṛ	18
suffix	तल्	tal	17
suffix	इमनिच्	imanic	16
suffix	इलच्	ilac	16
suffix	कि	ki	15
suffix	ष्ट्रन्	ṣṭran	15
suffix	श	śa	14
suffix	युच्	yuc	14
suffix	मयट्	mayaṭ	14
