root_slp1	hw_dev	in_verbs01	hindi_gloss
Co	छो	N	काटना,काट कर टुकड़े-टुकड़े करना,कटाई करना,लवनी करना
Cup	छुप्	Y	स्पर्श करना,छूना
Cur	छुर्	Y	काटना,विभक्त करना
DA	धा	Y	रखना, धरना, जड़ना, लिटा देना, भर्ती करना, तह जमाना
DAv	धाव्	Y	दौड़ना, आगे बढ़ना
DEryamavalamb	धैर्यमवलम्ब्	N	धैर्य या साहस से काम लेना
DU	धू	Y	हिलाना, क्षुब्ध करना,  कंपाना
DUmAyate	धूमायते	N	धूएँ से भर देना,  वाष्प से ढक देना, अँधेरा करना
DUmAyati	धूमायति	N	धूएँ से भर देना,  वाष्प से ढक देना, अँधेरा करना
DUp	धूप्	N	गरम करना,  गरम होना
Dakk	धक्क्	Y	ध्वस्त करना, नष्ट करना
DamaDamAy	धमधमाय्	N	जगमगाना, निगल जाना
De	धे	N	चूसना, पीना, घूट भरना, निगल जाना
Df	धृ	N	होना, विद्यमान होना, रहना, रहते रहना,  जीवित रहना
Dfz	धृष्	N	एकत्र होना, संहत होना, चोट पहुंचाना, क्षति पहुंचाना
Di	धि	Y	संभालना, रखना, अधिकार में करना
Dikkf	धिक्कृ	N	तिरस्कार करना, अवज्ञा करना, रद्द करना, बुरा भला कहना 
Dinv	धिन्व्	N	प्रसन्न करना, खुश करना, संतुष्ट करना
DiyaM banD	धियं बन्ध्	N	मन लगाना, दिल लगाना
DmA	ध्मा	N	फूंक मारना, श्वास बाहर निकालना, निःश्वसन
Dor	धोर्	Y	जल्दी जाना, अच्छे क़दम रखना, दौड़ना, दुल्की चलना
Du	धु	N	हिलाना, क्षुब्ध करना,  कंपाना
Dukz	धुक्ष्	Y	सुलगना
Dvan	ध्वन्	Y	शब्द करना, ध्वनि पैदा करना, गुनगुनाना, भिनभिनाना, गूंजना, प्रतिध्वनि करना,  गरजन
Dvas	ध्वस्	N	नीचे गिरना, गिर कर टुकड़े-टुकड़े होना, चूर-चूर हो जाना
Dvf	ध्वृ	N	झुकाना
DyE	ध्यै	N	सोचना,  मनन करना, विचार करना, चिंतन करना, विचार-विमर्श करना, कल्पना करना, याद कर
F	ॠ	N	जाना, हिलना-डुलना
GUrR	घूर्ण्	Y	इधर-उधर लुढ़कना,  इधर-उधर घूमना,  चक्कर काटना,  मुड़ना, हिलाना,  लिपटना,  लड़खड़ाना
GanIkfta	घनीकृत	N	ठोस बना देना
Gas	घस्	Y	खाना, निगलना
Gaw	घट्	Y	व्यस्त होना, प्रयत्न करना, प्रयास करना,  जानबूझ कर किसी काम में लगना
Gawwa	घट्ट	N	हिलाना, हरकत देना
Gf	घृ	N	छिड़्कना
GfR	घृण्	N	चमकना, जलना
