headword	L	root_key	immediate_base	upasarga	derivation_type	source	depth	is_leading_word_compound	chain
a	1	at	at		derived	pwg	1	False	a>at
a	2	at	at		derived	pwg	1	False	a>at
a	3	at	at		derived	pwg	1	False	a>at
a	4	at	at		derived	pwg	1	False	a>at
a	5	at	at		derived	pwg	1	False	a>at
aMSakaraRa	12	kar	karaRa		compound	pwg	2	True	aMSakaraRa>karaRa>kar
aMSahara	16	har	hara		compound	pwg	2	True	aMSahara>hara>har
aMSAvataraRa	18	tar	avataraRa	ava	compound	pwg	3	True	aMSAvataraRa>avataraRa>ava+tar>tar
aMhasaspati	53	pat	pati		compound	pwg	2	True	aMhasaspati>pati>pat
aMhuBeda	56	Bid	Beda		compound	pwg	2	True	aMhuBeda>Beda>Bid
aka	65	at	a		compound	pwg	2	True	aka>a>at
akaca	66	at	a		compound	pwg	2	True	akaca>a>at
akanizWa	67	at	a		compound	pwg	2	True	akanizWa>a>at
akanyA	69	at	a		compound	pwg	2	True	akanyA>a>at
akapIvant	70	at	a		compound	pwg	2	True	akapIvant>a>at
akampita	71	at	a		compound	pwg	2	True	akampita>a>at
akarA	73	at	a		compound	pwg	2	True	akarA>a>at
akaruRa	74	at	a		compound	pwg	2	True	akaruRa>a>at
akarkaSa	75	at	a		compound	pwg	2	True	akarkaSa>a>at
akarRa	76	at	a		compound	pwg	2	True	akarRa>a>at
akarRya	77	at	akarRa		derived	pwg	3	True	akarRya>akarRa>a>at
akarmaka	79	at	a		compound	pwg	2	True	akarmaka>a>at
akarman	80	at	a		compound	pwg	2	True	akarman>a>at
akarman	81	at	a		compound	pwg	2	True	akarman>a>at
akala	82	at	a		compound	pwg	2	True	akala>a>at
akalka	83	at	a		compound	pwg	2	True	akalka>a>at
akalkatA	84	at	akalka		derived	pwg	3	True	akalkatA>akalka>a>at
akalkana	85	at	a		compound	pwg	2	True	akalkana>a>at
akalkA	87	at	a		compound	pwg	2	True	akalkA>a>at
akalpa	88	at	a		compound	pwg	2	True	akalpa>a>at
akalmAza	89	at	a		compound	pwg	2	True	akalmAza>a>at
akava	90	at	a		compound	pwg	2	True	akava>a>at
akavaca	91	at	a		compound	pwg	2	True	akavaca>a>at
akavAri	92	at	a		compound	pwg	2	True	akavAri>a>at
akavi	93	at	a		compound	pwg	2	True	akavi>a>at
akasmAt	94	at	a		compound	pwg	2	True	akasmAt>a>at
akARqa	95	at	a		compound	pwg	2	True	akARqa>a>at
akARqe	96	at	akARqa		derived	pwg	3	True	akARqe>akARqa>a>at
akAma	97	at	a		compound	pwg	2	True	akAma>a>at
akAmakarSana	98	at	a		compound	pwg	2	True	akAmakarSana>a>at
akAmatas	99	at	a		compound	pwg	2	True	akAmatas>a>at
akAmatA	100	at	akAma		derived	pwg	3	True	akAmatA>akAma>a>at
akAmahata	101	at	a		compound	pwg	2	True	akAmahata>a>at
akAya	102	at	a		compound	pwg	2	True	akAya>a>at
akAra	103	at	a		compound	pwg	2	True	akAra>a>at
akAraRa	104	at	a		compound	pwg	2	True	akAraRa>a>at
akArin	105	at	a		compound	pwg	2	True	akArin>a>at
akArRavezwakika	106	at	a		compound	pwg	2	True	akArRavezwakika>a>at
akArya	107	at	a		compound	pwg	2	True	akArya>a>at
akAryakArin	108	at	a		compound	pwg	2	True	akAryakArin>a>at
akAryakArin	109	at	a		compound	pwg	2	True	akAryakArin>a>at
akAla	110	at	a		compound	pwg	2	True	akAla>a>at
akAlajaladodaya	111	at	akAla		compound	pwg	3	True	akAlajaladodaya>akAla>a>at
akAlameGodaya	112	at	akAla		compound	pwg	3	True	akAlameGodaya>akAla>a>at
akAlavelA	113	at	akAla		compound	pwg	3	True	akAlavelA>akAla>a>at
akiMcana	114	at	a		compound	pwg	2	True	akiMcana>a>at
akiMcanatA	115	at	akiMcana		derived	pwg	3	True	akiMcanatA>akiMcana>a>at
akiMcaniman	116	at	akiMcana		derived	pwg	3	True	akiMcaniman>akiMcana>a>at
akitava	117	at	a		compound	pwg	2	True	akitava>a>at
akutas	118	at	a		compound	pwg	2	True	akutas>a>at
akutoBaya	119	at	akutas		compound	pwg	3	True	akutoBaya>akutas>a>at
akutrA	120	at	a		compound	pwg	2	True	akutrA>a>at
akupya	122	at	a		compound	pwg	2	True	akupya>a>at
akumAra	123	at	a		compound	pwg	2	True	akumAra>a>at
akula	124	at	a		compound	pwg	2	True	akula>a>at
akulatA	125	at	akula		derived	pwg	3	True	akulatA>akula>a>at
akuSala	126	at	a		compound	pwg	2	True	akuSala>a>at
akUrca	128	at	a		compound	pwg	2	True	akUrca>a>at
akfta	130	at	a		compound	pwg	2	True	akfta>a>at
akfta	131	at	a		compound	pwg	2	True	akfta>a>at
akftavraRa	133	at	akfta		compound	pwg	3	True	akftavraRa>akfta>a>at
akfttaruc	134	at	a		compound	pwg	2	True	akfttaruc>a>at
akftya	135	at	a		compound	pwg	2	True	akftya>a>at
akftsna	136	at	a		compound	pwg	2	True	akftsna>a>at
akfSASva	137	at	a		compound	pwg	2	True	akfSASva>a>at
akfzIvala	138	at	a		compound	pwg	2	True	akfzIvala>a>at
akfzwapacya	139	at	a		compound	pwg	2	True	akfzwapacya>a>at
akfzRakarman	140	at	a		compound	pwg	2	True	akfzRakarman>a>at
aketu	141	at	a		compound	pwg	2	True	aketu>a>at
akeSa	142	at	a		compound	pwg	2	True	akeSa>a>at
akowa	143	at	a		compound	pwg	2	True	akowa>a>at
akOSala	144	at	a		compound	pwg	2	True	akOSala>a>at
aktu	148	aYj	aYj	aDi	derived	pwg	3	False	aktu>aYj>aDi+aYj>aYj
akratu	152	at	a		compound	pwg	2	True	akratu>a>at
akrama	153	at	a		compound	pwg	2	True	akrama>a>at
akravihasta	154	at	a		compound	pwg	2	True	akravihasta>a>at
akravyAd	155	at	a		compound	pwg	2	True	akravyAd>a>at
akravyAda	156	at	a		compound	pwg	2	True	akravyAda>a>at
akrAnta	157	at	a		compound	pwg	2	True	akrAnta>a>at
akrILant	158	at	a		compound	pwg	2	True	akrILant>a>at
akrIyamARa	159	at	a		compound	pwg	2	True	akrIyamARa>a>at
akrUra	160	at	a		compound	pwg	2	True	akrUra>a>at
akroDa	161	at	a		compound	pwg	2	True	akroDa>a>at
akroDana	162	at	a		compound	pwg	2	True	akroDana>a>at
akleSa	164	at	a		compound	pwg	2	True	akleSa>a>at
akzakAma	170	kam	kAma		compound	pwg	2	True	akzakAma>kAma>kam
akzaja	171	jan	ja		compound	pwg	2	True	akzaja>ja>jan
akzata	173	at	a		compound	pwg	2	True	akzata>a>at
akzatra	174	at	a		compound	pwg	2	True	akzatra>a>at
akzadyU	178	div	dyU		compound	pwg	2	True	akzadyU>dyU>div
akzadyUta	179	div	dyUta		compound	pwg	2	True	akzadyUta>dyUta>div
akzaDara	181	Dar	Dara		compound	pwg	2	True	akzaDara>Dara>Dar
akzaDUrta	182	DUrv	DUrta		compound	pwg	2	True	akzaDUrta>DUrta>DUrv
akzaparAjaya	186	ji	parAjaya	parA	compound	pwg	3	True	akzaparAjaya>parAjaya>parA+ji>ji
akzapIqA	189	pIq	pIqA		compound	pwg	2	True	akzapIqA>pIqA>pIq
akzama	190	at	a		compound	pwg	2	True	akzama>a>at
