n	tag	word	slp1	form_key	norm	in_union16	in_union15	u16_n_dicts	u16_dicts
5		a	a	a		1	1	14	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SCH SKD VCP
24384		kapija	kapija	kapija		1	1	4	MW PWG PWK VCP
48232	A	viprakṛta	viprakfta	viprakṛta		1	1	5	AP BHS BUR MW VCP
72854		ūrdhvamāna	UrDvamAna	ūrdhvamāna		1	1	3	MW PWG PWK
97577	H	anumadhya	anumaDya	anumadhya		1	1	2	BHS PD
123082	G	aṃśala	aMsala	ansala	acc	1	1	9	AP CAE CCS MD MW PD PWG PWK VCP
150484		khaṇvakhā	KaRvaKA	khanvakhā		1	1	3	MW PWG PWK
175738	M	sāyaṃdhṛti	sAyaMDfti	sāyandhṛti		1	1	1	MW
201279	H	vajranārā--yaṇaketu	vajranArAyaRaketu	vajranārāyanaketu	hyph	1	1	1	BHS
225132	M	dattamahiman	dattamahiman	dattamahiman		1	1	2	MW PWK
1		ūṃṃ	UMM	ūmm		0	0		
30027	P	tejaścaṇḍa	tejascaRqa	tejascanḍa	acc	0	0		
62298		śatārdha	satArDa	satārdha	acc	0	0		
88324		kṣapāśaya	kzapAsaya	kṣapāsaya	acc	0	0		
114580		saptaśa--lākacakra	saptasalAkacakra	saptasalākacakra	hyph|acc	0	0		
135080	M	kacapāśa	kacapAsa	kacapāsa	acc	0	0		
156045		dīrghadarśitā	dIrGadarsitA	dīrghadarsitā	acc	0	0		
179444	M	mūlaśā--ntividhi	mUlasAntiviDi	mūlasāntividhi	hyph|acc	0	0		
203981	S	krimiśatru	krimisatru	krimisatru	acc	0	0		
234281	M	prati--pattidarśin	pratipattidarsin	pratipattidarsin	hyph|acc	0	0		
