key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
a	a	a	a	fiction	1	001-1	SCH-fiction-3147_cases.xml	1
KaYjAhva	khan5ja1hva	khañjāhva	khanjāhva	fiction	11776	162-1	SCH-fiction-3147_cases.xml	1
paRANganA	pan2a1n3gana1	paṇāṅganā	panānganā	fiction	17595	242-3	SCH-fiction-3147_cases.xml	1
vAralA	va1rala1	vāralā	vāralā	fiction	23532	325-2	SCH-fiction-3147_cases.xml	1
anUka	anu1ka	anūka	anūka	grade	2919	040-1	SCH-grade-12427_cases.xml	1
kApotikA	ka1potika1	kāpotikā	kāpotikā	grade	10350	142-3	SCH-grade-12427_cases.xml	1
dohalin	dohalin	dohalin	dohalin	grade	15760	217-2	SCH-grade-12427_cases.xml	1
bahumAya	Bahuma1ya	bahumāya	bahumāya	grade	20124	277-3	SCH-grade-12427_cases.xml	1
vidAhin	vida1hin	vidāhin	vidāhin	grade	23810	329-2	SCH-grade-12427_cases.xml	1
arDacandraka	ardhacandraka	ardhacandraka	ardhacandraka	grade	27962	385-1	SCH-grade-12427_cases.xml	1
aMSumatPalA	am2s4umatphala1	aṃśumatphalā	anśumatphalā	fiction	13	001-1	SCH-fiction-3147_cases.xml	0
anAkara	ana1kara	anākara	anākara	grade	2289	031-2	SCH-grade-12427_cases.xml	0
utseDavant	utsedhavant	utsedhavant	utsedhavant	grade	8214	113-1	SCH-grade-12427_cases.xml	0
gaRANganA	gan2a1n3gana1	gaṇāṅganā	ganānganā	grade	12035	165-2	SCH-grade-12427_cases.xml	0
daSavarRa	das4avarn2a	daśavarṇa	daśavarna	grade	15229	210-1	SCH-grade-12427_cases.xml	0
paripacanatA	paripacanata1	paripacanatā	paripacanatā	grade	17928	247-3	SCH-grade-12427_cases.xml	0
BrUBedana	bhru1bhedana	bhrūbhedana	bhrūbhedana	grade	20838	287-3	SCH-grade-12427_cases.xml	0
vaSopanayana	vas4opanayana	vaśopanayana	vaśopanayana	grade	23355	323-1	SCH-grade-12427_cases.xml	0
SrAk	s4ra1k	śrāk	śrāk	grade	25354	348-3	SCH-grade-12427_cases.xml	0
haritavAhavAhana	haritava1hava1hana	haritavāhavāhana	haritavāhavāhana	grade	27456	376-2	SCH-grade-12427_cases.xml	0
