headword_iast	source_code	form_key
utthānaḥsarvakarmaṅāṃ	N	utthānaḥsarvakarmanām
pravarasurāṅāṃ	N	pravarasurānām
dhanuryantrāṅāṃ	N	dhanuryantrānām
bandhanaasurendrāṅāṃ	N	bandhanaasurendrānām
jetāripūṅāṃ	N	jetāripūnām
uccāṃ	G	uccām
jhāṃ	M	jhām
salokānāṃ	H	salokānām
unmādaḥsarvabhūtānāṃ	N	unmādaḥsarvabhūtānām
prabhavaḥsarvabhūtānāṃ	N	prabhavaḥsarvabhūtānām
vahitṛsarvabhūtānāṃ	N	vahitṛsarvabhūtānām
upāligaṅgapālānāṃ	H	upāligangapālānām
antadevānāṃ	N	antadevānām
guhāpālapraveśināṃ	N	guhāpālapraveśinām
indriyasarvadehināṃ	N	indriyasarvadehinām
yuvarājācedīnāṃ	N	yuvarājācedīnām
brahmakāyikamagnīnāṃ	N	brahmakāyikamagnīnām
prabhuḥprabhūnāṃ	N	prabhuḥprabhūnām
īśapaśūnāṃ	N	īśapaśūnām
ghrāṃ	M	ghrām
putrīkaraṅamīmāṃsāṃ	G	putrīkaranamīmānsām
sthaviṣṭhaḥsthavīyasāṃ	N	sthaviṣṭhaḥsthavīyasām
śreṣṭhaśreyasāṃ	N	śreṣṭhaśreyasām
kiṃ	N	kim
āyatiṃ	H	āyatim
prasīdāmiṃ	B	prasīdāmim
khariṃ	M	kharim
khāriṃ	M	khārim
diviṃ	H	divim
tadāhiṃ	H	tadāhim
etarhiṃ	H	etarhim
tūṣṅīṃ	M	tūṣnīm
tadānīṃ	M	tadānīm
guṃ	M	gum
puṃ	M	pum
huṃ	M	hum
huhuṃ	H	huhum
khuḍṃ	B	khuḍm
āḥ	A	ā
iḥ	A	i
īḥ	A	ī
uḥ	A	u
ūḥ	B	ū
eḥ	A	e
aiḥ	A	ai
jānikaḥ	H	jānika
lokānāṃkīrtivardhaṅaḥ	N	lokānānkīrtivardhana
atharvāṅaḥ	V	atharvāna
arcayantyarkamarkiṅaḥ	N	arcayantyarkamarkina
gāyantitvāṃgāyatriṅaḥ	N	gāyantitvāngāyatrina
vacaḥ	M	vaca
rajaḥ	M	raja
oṣadhijaḥ	I	oṣadhija
tejaḥ	R	teja
śaṭaḥ	H	śaṭa
saṭhaḥ	H	saṭha
brahmavatāṃvariṣṭhaḥ	N	brahmavatānvariṣṭha
śilpināṃśreṣṭhaḥ	N	śilpinānśreṣṭha
ṣaḍiḍaḥ	G	ṣaḍiḍa
