headword_iast	source_code	form_key
evamabhyanūkta		evamabhyanūkta
mitabhūkta		mitabhūkta
dviṣūkta		dviṣūkta
goṣūkta		goṣūkta
gauṣūkta		gauṣūkta
sūkta		sūkta
camakasūkta		camakasūkta
pañcasūkta	M	pancasūkta
pavamānapañcasūkta	M	pavamānapancasūkta
bhūnīlāpañcasūkta	M	bhūnīlāpancasūkta
sampātasūkta	M	sampātasūkta
haviṣpāntasūkta	M	haviṣpāntasūkta
budhasūkta	M	budhasūkta
yuddhasūkta	M	yuddhasūkta
vāmanasūkta	G	vāmanasūkta
pavamānasūkta	M	pavamānasūkta
śakunasūkta		śakunasūkta
śākunasūkta		śākunasūkta
rakṣoghnasūkta	M	rakṣoghnasūkta
dvārajapasūkta	M	dvārajapasūkta
labasūkta		labasūkta
yamasūkta		yamasūkta
kāmasūkta		kāmasūkta
rāmasūkta		rāmasūkta
sārvabhaumāsarvasverāmasūkta	M	sārvabhaumāsarvasverāmasūkta
sāmasūkta		sāmasūkta
somasūkta		somasūkta
bhaumasūkta	M	bhaumasūkta
gharmasūkta		gharmasūkta
dharmasūkta	M	dharmasūkta
brahmasūkta	M	brahmasūkta
samayasūkta	M	samayasūkta
paryāyasūkta		paryāyasūkta
ādityasūkta		ādityasūkta
parjanyasūkta		parjanyasūkta
sūryasūkta	M	sūryasūkta
āyuṣyasūkta	S	āyuṣyasūkta
matsyasūkta		matsyasūkta
mṛgārasūkta		mṛgārasūkta
saurasūkta	M	saurasūkta
śukrasūkta	M	śukrasūkta
mitrasūkta	M	mitrasūkta
ānobhadrasūkta	M	ānobhadrasūkta
rudrasūkta		rudrasūkta
somārudrasūkta	M	somārudrasūkta
kṣudrasūkta		kṣudrasūkta
candrasūkta		candrasūkta
kālasūkta		kālasūkta
śivasūkta	M	śivasūkta
dhruvasūkta	M	dhruvasūkta
sarvadevasūkta	M	sarvadevasūkta
sarvasūkta	M	sarvasūkta
aśvasūkta		aśvasūkta
āśvasūkta		āśvasūkta
puruṣasūkta		puruṣasūkta
akṣasūkta		akṣasūkta
navagrahasūkta	M	navagrahasūkta
medhāsūkta		medhāsūkta
sūryāsūkta		sūryāsūkta
pratyaṅgirāsūkta	M	pratyangirāsūkta
dīkṣāsūkta	M	dīkṣāsūkta
mahāsūkta		mahāsūkta
vāstoṣpatisūkta	M	vāstoṣpatisūkta
brahmaṅaspatisūkta	M	brahmanaspatisūkta
yeyajñenetisūkta	M	yeyajnenetisūkta
śāntisūkta		śāntisūkta
mahauṣadhisūkta	M	mahauṣadhisūkta
śanisūkta	M	śanisūkta
harisūkta		harisūkta
rātrisūkta		rātrisūkta
sarasvatīsūkta		sarasvatīsūkta
mahāsarasvatīsūkta	M	mahāsarasvatīsūkta
oṣadhīsūkta		oṣadhīsūkta
lakṣmīsūkta		lakṣmīsūkta
hiraṅyalakṣmīsūkta	M	hiranyalakṣmīsūkta
mahālakṣmīsūkta	M	mahālakṣmīsūkta
rātrīsūkta		rātrīsūkta
śrīsūkta		śrīsūkta
kālīsūkta	M	kālīsūkta
mahākālīsūkta	M	mahākālīsūkta
devīsūkta		devīsūkta
hiraṅyadevīsūkta	M	hiranyadevīsūkta
viṣṅusūkta		viṣnusūkta
ṣaḍṛtusūkta	M	ṣaḍṛtusūkta
madhusūkta		madhusūkta
mṛtyusūkta	M	mṛtyusūkta
manyusūkta		manyusūkta
bahusūkta		bahusūkta
rāhusūkta	M	rāhusūkta
bhūsūkta		bhūsūkta
pitṛsūkta		pitṛsūkta
bhartṛsūkta	M	bhartṛsūkta
gosūkta		gosūkta
pṛkta		pṛkta
apṛkta		apṛkta
mayūkhapṛkta	M	mayūkhapṛkta
ghṛtapṛkta	M	ghṛtapṛkta
jalapṛkta	M	jalapṛkta
vipṛkta	M	vipṛkta
anupṛkta	R	anupṛkta
saṃpṛkta	R	sanpṛkta
sampṛkta	S	sampṛkta
asampṛkta	M	asampṛkta
bhūtasampṛkta	M	bhūtasampṛkta
bhṛkta	B	bhṛkta
mṛkta	M	mṛkta
amṛkta		amṛkta
vṛkta		vṛkta
saṃvṛkta	A	sanvṛkta
apavṛkta	A	apavṛkta
anapavṛkta		anapavṛkta
vyapavṛkta	M	vyapavṛkta
pravṛkta	M	pravṛkta
apāvṛkta	M	apāvṛkta
parāvṛkta	M	parāvṛkta
parivṛkta		parivṛkta
vivṛkta	B	vivṛkta
bāhuvṛkta		bāhuvṛkta
sārisṛkta	G	sārisṛkta
brāhmaṅokta		brāhmanokta
dhṛṣṅokta		dhṛṣnokta
dhṛṣṭokta		dhṛṣṭokta
kaṅṭhokta		kanṭhokta
prakṛtokta	M	prakṛtokta
duruktokta		duruktokta
śastokta	M	śastokta
hastokta	H	hastokta
yathokta		yathokta
vṛthokta	M	vṛthokta
vedokta		vedokta
avedokta		avedokta
ardhokta		ardhokta
vidhānokta	M	vidhānokta
śāstravidhānokta	M	śāstravidhānokta
purānokta	M	purānokta
pāpokta		pāpokta
kramokta	M	kramokta
aśmayokta	M	aśmayokta
paryāyokta		paryāyokta
puṅyokta	M	punyokta
bhavagrāmīṅavādyokta	M	bhavagrāmīnavādyokta
uttarottarokta		uttarottarokta
parokta	G	parokta
avarokta		avarokta
mantrokta		mantrokta
śāstrokta	M	śāstrokta
prokta	B	prokta
muhuḥprokta	M	muhuḥprokta
purāṅaprokta		purānaprokta
sanaprokta	M	sanaprokta
hayagrīvaprokta	M	hayagrīvaprokta
śikhāprokta	N	śikhāprokta
pratiprokta	R	pratiprokta
svayamprokta	M	svayamprokta
saṃprokta	R	sanprokta
samprokta	M	samprokta
pratikūlokta		pratikūlokta
svabhāvokta		svabhāvokta
pūrvokta		pūrvokta
pūrvapūrvokta		pūrvapūrvokta
svokta	M	svokta
leśokta	M	leśokta
pṛṣokta		pṛṣokta
samāsokta		samāsokta
praukta		praukta
śaukta		śaukta
pāṅkta		pānkta
apāṅkta	A	apānkta
tta		tta
atta	H	atta
ātta		ātta
utta		utta
etta	H	etta
khatta		khatta
āṅatta	H	ānatta
catta	M	catta
datta		datta
adatta		adatta
ādatta	A	ādatta
kanakadatta	G	kanakadatta
makadatta		makadatta
kokadatta	H	kokadatta
aśokadatta		aśokadatta
dharmāśokadatta	M	dharmāśokadatta
mṛgāṅkadatta		mṛgānkadatta
turuṣkadatta		turuṣkadatta
viśākhadatta		viśākhadatta
śaṅkhadatta		śankhadatta
bhagadatta		bhagadatta
nāgadatta		nāgadatta
yugadatta	I	yugadatta
gaṅgadatta		gangadatta
raṅgadatta		rangadatta
laṅgadatta	M	langadatta
kaliṅgadatta	P	kalingadatta
śārṅgadatta	M	śārngadatta
durgadatta	M	durgadatta
meghadatta	H	meghadatta
śramaṅadatta		śramanadatta
nārāyaṅadatta	M	nārāyanadatta
śravaṅadatta		śravanadatta
aruṅadatta		arunadatta
varuṅadatta	H	varunadatta
parṅadatta		parnadatta
kṛṣṅadatta		kṛṣnadatta
yajñadatta		yajnadatta
ayajñadatta	M	ayajnadatta
dīkṣitayajñadatta		dīkṣitayajnadatta
yājñadatta		yājnadatta
subhaṭadatta	M	subhaṭadatta
śrīkaṅṭhadatta	M	śrīkanṭhadatta
suvratadatta	M	suvratadatta
vinītadatta	M	vinītadatta
vitastadatta		vitastadatta
hastadatta	M	hastadatta
bhagīrathadatta	M	bhagīrathadatta
arthadatta		arthadatta
nandadatta	H	nandadatta
ānandadatta	M	ānandadatta
govindadatta		govindadatta
aśvamedhadatta		aśvamedhadatta
buddhadatta		buddhadatta
labdhadatta		labdhadatta
dhanadatta		dhanadatta
vāmanadatta	M	vāmanadatta
naravāhanadatta		naravāhanadatta
jñānadatta		jnānadatta
jinadatta		jinadatta
ratnadatta		ratnadatta
gopadatta		gopadatta
bhaṭantagopadatta	G	bhaṭantagopadatta
bhadantagopadatta		bhadantagopadatta
vasukalpadatta		vasukalpadatta
puṣpadatta	H	puṣpadatta
bhadatta		bhadatta
ṛṣabhadatta	M	ṛṣabhadatta
padmanābhadatta		padmanābhadatta
śubhadatta		śubhadatta
saṃgamadatta		sangamadatta
aryamadatta		aryamadatta
rāmadatta		rāmadatta
saṃgrāmadatta		sangrāmadatta
vāmadatta		vāmadatta
śāmadatta	M	śāmadatta
somadatta		somadatta
dharmadatta		dharmadatta
brahmadatta		brahmadatta
abrahmadatta		abrahmadatta
niścayadatta		niścayadatta
jayadatta		jayadatta
vijayadatta		vijayadatta
hṛdayadatta		hṛdayadatta
nayadatta	M	nayadatta
vinayadatta	M	vinayadatta
abhayadatta		abhayadatta
hiraṅyadatta		hiranyadatta
puṅyadatta	H	punyadatta
vaiṅyadatta	M	vainyadatta
ādityadatta	H	ādityadatta
anityadatta	M	anityadatta
vainyadatta		vainyadatta
sūryadatta		sūryadatta
mauryadatta		mauryadatta
manuṣyadatta	H	manuṣyadatta
śaṃkaradatta		śankaradatta
sāgaradatta		sāgaradatta
uttaradatta	H	uttaradatta
dāmodaradatta		dāmodaradatta
mahīdharadatta		mahīdharadatta
naradatta		naradatta
vaiśvānaradatta		vaiśvānaradatta
amaradatta		amaradatta
varadatta		varadatta
īśvaradatta		īśvaradatta
vaṭeśvaradatta	M	vaṭeśvaradatta
parameśvaradatta	M	parameśvaradatta
rāmeśvaradatta	M	rāmeśvaradatta
viśveśvaradatta	G	viśveśvaradatta
maheśvaradatta		maheśvaradatta
haradatta		haradatta
kumāradatta		kumāradatta
mihiradatta		mihiradatta
vīradatta		vīradatta
māhuradatta		māhuradatta
śūradatta	H	śūradatta
kuberadatta		kuberadatta
cakradatta		cakradatta
vyāghradatta		vyāghradatta
vajradatta		vajradatta
bhadradatta		bhadradatta
samudradatta		samudradatta
rudradatta		rudradatta
madarudradatta		madarudradatta
indradatta		indradatta
candradatta		candradatta
upendradatta		upendradatta
śevalendradatta		śevalendradatta
pradatta		pradatta
sampradatta	M	sampradatta
asaṃpradatta		asanpradatta
śikhaladatta	H	śikhaladatta
baladatta	H	baladatta
siṃhabaladatta		sinhabaladatta
jambhaladatta		jambhaladatta
vimaladatta		vimaladatta
suvimaladatta	H	suvimaladatta
śevaladatta		śevaladatta
ujjvaladatta		ujjvaladatta
viśāladatta		viśāladatta
sthūladatta		sthūladatta
avadatta	A	avadatta
bhavadatta		bhavadatta
bhairavadatta	M	bhairavadatta
vāsavadatta		vāsavadatta
śivadatta		śivadatta
jīvadatta		jīvadatta
devadatta		devadatta
daivadatta		daivadatta
śarvadatta		śarvadatta
pūrvadatta		pūrvadatta
viśvadatta		viśvadatta
yaśadatta	H	yaśadatta
prakāśadatta	M	prakāśadatta
puruṣadatta		puruṣadatta
ghoṣadatta	H	ghoṣadatta
lakṣadatta		lakṣadatta
harṣadatta	H	harṣadatta
siṃhadatta		sinhadatta
varāhadatta		varāhadatta
nāḍikādatta		nāḍikādatta
gaṅgādatta	P	gangādatta
durgādatta		durgādatta
vīṅādatta		vīnādatta
dattādatta	M	dattādatta
yathādatta		yathādatta
yamunādatta		yamunādatta
samādatta	H	samādatta
yuṣmādatta		yuṣmādatta
yuvādatta		yuvādatta
tvādatta		tvādatta
sakhidatta		sakhidatta
maṅidatta		manidatta
śrīcintāmaṅidatta	H	śrīcintāmanidatta
cakrapāṅidatta		cakrapānidatta
rucidatta		rucidatta
daṅḍidatta	M	danḍidatta
atidatta		atidatta
prajāpatidatta		prajāpatidatta
umāpatidatta		umāpatidatta
nidhipatidatta		nidhipatidatta
śrīpatidatta		śrīpatidatta
bṛhaspatidatta		bṛhaspatidatta
matidatta	M	matidatta
pratidatta	A	pratidatta
prītidatta		prītidatta
bhūtidatta		bhūtidatta
śaktidatta	M	śaktidatta
cakravartidatta	H	cakravartidatta
nāndidatta	M	nāndidatta
nidhidatta		nidhidatta
ṛddhidatta	H	ṛddhidatta
sthitabuddhidatta		sthitabuddhidatta
vṛddhidatta		vṛddhidatta
nidatta	M	nidatta
agnidatta		agnidatta
jamadagnidatta		jamadagnidatta
svāmidatta	M	svāmidatta
suparidatta		suparidatta
haridatta		haridatta
kumāridatta		kumāridatta
śauridatta	M	śauridatta
ṣaḍaṅgulidatta	G	ṣaḍangulidatta
vidatta	M	vidatta
ravidatta		ravidatta
dvidatta		dvidatta
iṣidatta	H	iṣidatta
uṣidatta	H	uṣidatta
ṛṣidatta	H	ṛṣidatta
riṣidatta	H	riṣidatta
mahidatta		mahidatta
veṅīdatta		venīdatta
nāḍīdatta		nāḍīdatta
nadīdatta		nadīdatta
lakṣmīdatta	M	lakṣmīdatta
vāgīśvarīdatta	M	vāgīśvarīdatta
śrīdatta		śrīdatta
maithilaśrīdatta	G	maithilaśrīdatta
devīdatta		devīdatta
veṅudatta		venudatta
viṣṅudatta		viṣnudatta
pṛthudatta	M	pṛthudatta
sādhudatta		sādhudatta
bandhudatta		bandhudatta
sindhudatta		sindhudatta
anudatta	M	anudatta
bhānudatta		bhānudatta
vibhudatta	H	vibhudatta
vāyudatta		vāyudatta
cārudatta		cārudatta
sudatta		sudatta
vasudatta		vasudatta
lūhasudatta		lūhasudatta
mahāsudatta	H	mahāsudatta
mātṛdatta		mātṛdatta
bhrātṛdatta	M	bhrātṛdatta
pitṛdatta		pitṛdatta
savitṛdatta		savitṛdatta
manodatta		manodatta
yaśodatta		yaśodatta
saudatta		saudatta
vāgdatta	M	vāgdatta
vidyuddatta	H	vidyuddatta
maruddatta		maruddatta
svayaṃdatta		svayandatta
saṃdatta	R	sandatta
kindatta	N	kindatta
kiṃdatta		kindatta
punardatta	V	punardatta
vāgāśīrdatta		vāgāśīrdatta
suparyāśīrdatta		suparyāśīrdatta
durdatta		durdatta
utpatta	G	utpatta
matta		matta
amatta	A	amatta
āmatta	R	āmatta
raṅamatta		ranamatta
mṛtamatta		mṛtamatta
raktamatta		raktamatta
arthamatta	M	arthamatta
yauvanamatta	G	yauvanamatta
pānamatta		pānamatta
vīryamatta	M	vīryamatta
pramatta	S	pramatta
apramatta		apramatta
vipramatta	M	vipramatta
sampramatta	B	sampramatta
saṃpramatta	R	sanpramatta
kadāmatta		kadāmatta
sadāmatta		sadāmatta
surāmatta	M	surāmatta
mahāmatta		mahāmatta
ṣaṣṭimatta		ṣaṣṭimatta
abhimatta	R	abhimatta
vimatta	R	vimatta
avimatta		avimatta
madhumatta		madhumatta
anumatta	A	anumatta
unmatta		unmatta
anunmatta	R	anunmatta
madonmatta		madonmatta
yuddhonmatta		yuddhonmatta
kāmonmatta		kāmonmatta
madironmatta	M	madironmatta
balonmatta	M	balonmatta
saṃmatta	R	sanmatta
sammatta	A	sammatta
yatta	B	yatta
āyatta	B	āyatta
saṃyatta	R	sanyatta
asaṃyatta	R	asanyatta
pratisaṃyatta	R	pratisanyatta
abhisaṃyatta	R	abhisanyatta
susaṃyatta		susanyatta
parayatta	M	parayatta
prayatta	M	prayatta
yuṣmadāyatta	M	yuṣmadāyatta
anāyatta	S	anāyatta
samāyatta	R	samāyatta
bhāgyāyatta		bhāgyāyatta
veśyāyatta	M	veśyāyatta
parāyatta		parāyatta
daivāyatta	M	daivāyatta
anvāyatta	R	anvāyatta
svāyatta		svāyatta
pratiyatta	H	pratiyatta
pariyatta	M	pariyatta
pratta		pratta
apratta	A	apratta
pratipratta	G	pratipratta
asaṃpratta		asanpratta
avatta		avatta
ṣaḍavatta		ṣaḍavatta
samavatta	M	samavatta
niravatta	G	niravatta
caturavatta		caturavatta
pañcāvatta		pancāvatta
ativatta	H	ativatta
viṣuvatta	I	viṣuvatta
kevatta	H	kevatta
devatta		devatta
nyāṣatta	M	nyāṣatta
niṣatta	M	niṣatta
satta		satta
nasatta		nasatta
prasatta	M	prasatta
ghṛtaprasatta		ghṛtaprasatta
bṛhatta	P	bṛhatta
navacchātta	G	navacchātta
dātta		dātta
udātta		udātta
anudātta		anudātta
sarvānudātta		sarvānudātta
atyudātta		atyudātta
ādyudātta		ādyudātta
anādyudātta		anādyudātta
dvyudātta		dvyudātta
dvirudātta		dvirudātta
ekodātta		ekodātta
antodātta		antodātta
anantodātta		anantodātta
madhyodātta		madhyodātta
dhīrodātta		dhīrodātta
sarvodātta		sarvodātta
sarvoddātta	G	sarvoddātta
anātta		anātta
apātta		apātta
upātta		upātta
anupātta		anupātta
samupātta	R	samupātta
śabdopātta	M	śabdopātta
samātta	H	samātta
abhyātta	A	abhyātta
aparyātta	H	aparyātta
vyātta		vyātta
āvyātta		āvyātta
punarātta	M	punarātta
samāptapunarātta		samāptapunarātta
parātta	M	parātta
agniṣvātta		agniṣvātta
anagniṣvātta	M	anagniṣvātta
svātta		svātta
agnisvātta	G	agnisvātta
citta		citta
acitta		acitta
ekacitta		ekacitta
tadekacitta	M	tadekacitta
sukhacitta		sukhacitta
mahātyāgacitta	M	mahātyāgacitta
asaṅgacitta	H	asangacitta
hṛṣṭacitta	M	hṛṣṭacitta
prahṛṣṭacitta	M	prahṛṣṭacitta
hatacitta	M	hatacitta
bhūtopahatacitta	M	bhūtopahatacitta
duḥkhitacitta	M	duḥkhitacitta
ūrjitacitta	M	ūrjitacitta
vyutthitacitta	M	vyutthitacitta
anavasthitacitta		anavasthitacitta
avyavasthitacitta	R	avyavasthitacitta
vyāmohitacitta	M	vyāmohitacitta
bhītacitta	M	bhītacitta
viparītacitta	M	viparītacitta
prītacitta	M	prītacitta
viraktacitta	M	viraktacitta
āsaktacitta	M	āsaktacitta
saṃsaktacitta	M	sansaktacitta
udriktacitta		udriktacitta
pramattacitta	M	pramattacitta
unmattacitta	M	unmattacitta
bhrāntacitta	M	bhrāntacitta
śrāntacitta	M	śrāntacitta
saṃsāraśrāntacitta	M	sansāraśrāntacitta
dhvāntacitta		dhvāntacitta
praśāntacitta	H	praśāntacitta
kṣiptacitta		kṣiptacitta
vikṣiptacitta	M	vikṣiptacitta
arthacitta		arthacitta
svasthacitta		svasthacitta
susthacitta	M	susthacitta
baddhacitta		baddhacitta
pratibaddhacitta	M	pratibaddhacitta
gaganacitta	H	gaganacitta
kaṭhinacitta	M	kaṭhinacitta
dīnacitta		dīnacitta
udvignacitta	M	udvignacitta
vyāpannacitta	M	vyāpannacitta
anupamacitta	H	anupamacitta
samacitta		samacitta
prāyacitta		prāyacitta
avaśendriyacitta	M	avaśendriyacitta
anyacitta		anyacitta
ananyacitta		ananyacitta
śūnyacitta		śūnyacitta
kalyacitta	M	kalyacitta
manuṣyacitta		manuṣyacitta
sthiracitta		sthiracitta
kaṭhoracitta		kaṭhoracitta
ekāgracitta	M	ekāgracitta
maitracitta		maitracitta
vipracitta		vipracitta
vaipracitta		vaipracitta
calacitta		calacitta
kuṭilacitta		kuṭilacitta
duḥśīlacitta		duḥśīlacitta
vyākulacitta	M	vyākulacitta
śivacitta		śivacitta
devacitta	M	devacitta
gāndharvacitta		gāndharvacitta
pūrvacitta		pūrvacitta
raukṣacitta	M	raukṣacitta
sacitta		sacitta
ihacitta		ihacitta
mohacitta	M	mohacitta
pramohacitta		pramohacitta
cedācitta	H	cedācitta
senācitta	P	senācitta
mahācitta		mahācitta
adhicitta	H	adhicitta
bodhicitta	H	bodhicitta
kapicitta	H	kapicitta
vicitta		vicitta
laghucitta		laghucitta
viṣṅucitta		viṣnucitta
sucitta		sucitta
maccitta	B	maccitta
bṛhaccitta		bṛhaccitta
vṛhaccitta	S	vṛhaccitta
kṣullakatāpaścitta	M	kṣullakatāpaścitta
prāyaścitta		prāyaścitta
aprāyaścitta		aprāyaścitta
śūdrayājakaprāyaścitta	M	śūdrayājakaprāyaścitta
pañcarātrakaprāyaścitta	M	pancarātrakaprāyaścitta
somaprayogaprāyaścitta	M	somaprayogaprāyaścitta
aṅgaprāyaścitta	M	angaprāyaścitta
śrutilakṣaṅaprāyaścitta	M	śrutilakṣanaprāyaścitta
surāpāṅaprāyaścitta	M	surāpānaprāyaścitta
pravāsopasthānahaviryajñaprāyaścitta	M	pravāsopasthānahaviryajnaprāyaścitta
mahotpātaprāyaścitta	M	mahotpātaprāyaścitta
śrautaprāyaścitta	G	śrautaprāyaścitta
smārtaprāyaścitta	M	smārtaprāyaścitta
drumacchedaprāyaścitta	M	drumacchedaprāyaścitta
garbhavadhaprāyaścitta	M	garbhavadhaprāyaścitta
prāṅivadhaprāyaścitta	M	prānivadhaprāyaścitta
vidhyaparādhaprāyaścitta	M	vidhyaparādhaprāyaścitta
śatāparādhaprāyaścitta		śatāparādhaprāyaścitta
śrāddhavamanaprāyaścitta		śrāddhavamanaprāyaścitta
śūdrodakapānaprāyaścitta	M	śūdrodakapānaprāyaścitta
prātaragnihotrakālātikramaprāyaścitta	M	prātaragnihotrakālātikramaprāyaścitta
somaprāyaścitta	M	somaprāyaścitta
homaprāyaścitta	M	homaprāyaścitta
nityahomaprāyaścitta	M	nityahomaprāyaścitta
śrautakarmaprāyaścitta	M	śrautakarmaprāyaścitta
brahmaprāyaścitta	M	brahmaprāyaścitta
pūjāvaikalyaprāyaścitta		pūjāvaikalyaprāyaścitta
vātarogaharaprāyaścitta	M	vātarogaharaprāyaścitta
pañcarātraprāyaścitta	M	pancarātraprāyaścitta
paramapuruṣamahotsavaprāyaścitta	M	paramapuruṣamahotsavaprāyaścitta
sarvaprāyaścitta		sarvaprāyaścitta
pūrvaprāyaścitta		pūrvaprāyaścitta
śvagrahaprāyaścitta	M	śvagrahaprāyaścitta
saṃdhyāprāyaścitta	M	sandhyāprāyaścitta
śrautakarmaṅyāśvalāyanopayogiprāyaścitta	M	śrautakarmanyāśvalāyanopayogiprāyaścitta
agniprāyaścitta		agniprāyaścitta
hemādriprāyaścitta	M	hemādriprāyaścitta
bhāviprāyaścitta		bhāviprāyaścitta
rāśiprāyaścitta	M	rāśiprāyaścitta
śatadvayīprāyaścitta		śatadvayīprāyaścitta
prāyaścittaśatadvayīśatadvayīprāyaścitta	M	prāyaścittaśatadvayīśatadvayīprāyaścitta
laghuprāyaścitta	M	laghuprāyaścitta
paśuprāyaścitta	M	paśuprāyaścitta
niścitta		niścitta
sthitaniścitta	H	sthitaniścitta
tathatāsthitaniścitta	H	tathatāsthitaniścitta
duścitta		duścitta
pitta		pitta
pañcapitta		pancapitta
vātapitta	M	vātapitta
śoṅitapitta		śonitapitta
śītapitta		śītapitta
raktapitta		raktapitta
nāsāraktapitta		nāsāraktapitta
adhoraktapitta	M	adhoraktapitta
kūrmapitta		kūrmapitta
śleṣmapitta		śleṣmapitta
asrapitta	M	asrapitta
adhosrapitta	M	adhosrapitta
jalapitta		jalapitta
amlapitta		amlapitta
jhaṣapitta		jhaṣapitta
māṃsapitta		mānsapitta
śākhāpitta		śākhāpitta
śikhāpitta		śikhāpitta
gopitta		gopitta
appitta		appitta
apāmpitta	B	apāmpitta
apāṃpitta		apānpitta
bhitta		bhitta
nimitta		nimitta
animitta		animitta
ānimitta	H	ānimitta
vratanimitta	M	vratanimitta
anuktanimitta	M	anuktanimitta
animittanimitta		animittanimitta
apathyanimitta	M	apathyanimitta
pūrvanimitta		pūrvanimitta
viṣanimitta	M	viṣanimitta
abhyāsanimitta	M	abhyāsanimitta
mahānimitta		mahānimitta
pravṛttinimitta	M	pravṛttinimitta
vinimitta		vinimitta
sunimitta	R	sunimitta
kutonimitta		kutonimitta
tannimitta	M	tannimitta
yannimitta		yannimitta
sannimitta		sannimitta
kiṃnimitta		kinnimitta
nirnimitta		nirnimitta
durnimitta		durnimitta
naimitta		naimitta
kathyāyitta	H	kathyāyitta
paritta	H	paritta
aparitta	M	aparitta
vitta		vitta
avitta	A	avitta
āvitta	A	āvitta
kāṣṭhikavitta	H	kāṣṭhikavitta
bhagavitta		bhagavitta
bhāgavitta		bhāgavitta
gatavitta	M	gatavitta
hṛtavitta	M	hṛtavitta
dhvāntavitta		dhvāntavitta
upaguptavitta	M	upaguptavitta
viluptavitta	M	viluptavitta
prasādavitta		prasādavitta
sanavitta		sanavitta
paravitta		paravitta
mūlavitta		mūlavitta
yakṣavitta		yakṣavitta
savitta		savitta
gṛhavitta		gṛhavitta
śraddhāvitta		śraddhāvitta
velāvitta		velāvitta
parivitta		parivitta
strīvitta		strīvitta
anuvitta	A	anuvitta
suvitta		suvitta
pitṛvitta		pitṛvitta
pratītta	A	pratītta
apratītta		apratītta
nītta	B	nītta
parītta		parītta
aparītta	M	aparītta
anuparītta	H	anuparītta
suparītta	H	suparītta
vītta		vītta
khattakhutta	M	khattakhutta
praṅutta	A	pranutta
sāyakapraṅutta		sāyakapranutta
vaibādhapraṅutta		vaibādhapranutta
pṛṣadājyapraṅutta		pṛṣadājyapranutta
bṛhaspatipraṅutta		bṛhaspatipranutta
bṛhadutta	I	bṛhadutta
nutta	B	nutta
anutta		anutta
brahmanutta		brahmanutta
putta	S	putta
ābutta		ābutta
suyutta	H	suyutta
dyutta	M	dyutta
vidyutta		vidyutta
sakṛdvidyutta		sakṛdvidyutta
nyutta	M	nyutta
vyutta	A	vyutta
marutta		marutta
vutta	H	vutta
āvutta	R	āvutta
saṃpravutta	H	sanpravutta
sūtta		sūtta
kṛtta	B	kṛtta
akṛtta	A	akṛtta
avakṛtta	M	avakṛtta
nikṛtta	M	nikṛtta
vinikṛtta	R	vinikṛtta
parikṛtta	M	parikṛtta
kāntānukṛtta		kāntānukṛtta
saṃkṛtta	R	sankṛtta
sadyaḥkṛtta		sadyaḥkṛtta
pracṛtta	M	pracṛtta
vicṛtta	M	vicṛtta
nṛtta		nṛtta
lāganṛtta		lāganṛtta
upanṛtta	M	upanṛtta
ābhyantaranṛtta	M	ābhyantaranṛtta
pranṛtta		pranṛtta
supranṛtta		supranṛtta
sampranṛtta	M	sampranṛtta
saṃpranṛtta	R	sanpranṛtta
ninṛtta	A	ninṛtta
punarninṛtta		punarninṛtta
nairbhṛtta		nairbhṛtta
vṛtta		vṛtta
avṛtta		avṛtta
āvṛtta		āvṛtta
evaṃvṛtta		evanvṛtta
saṃvṛtta		sanvṛtta
niḥśabdasaṃvṛtta	M	niḥśabdasanvṛtta
abhisaṃvṛtta	R	abhisanvṛtta
susaṃvṛtta		susanvṛtta
kiṃvṛtta		kinvṛtta
ekavṛtta	M	ekavṛtta
dodhakavṛtta	M	dodhakavṛtta
bhikṣākavṛtta	H	bhikṣākavṛtta
lokavṛtta		lokavṛtta
gaṅavṛtta		ganavṛtta
kalyāṅavṛtta		kalyānavṛtta
koṅavṛtta		konavṛtta
varṅavṛtta		varnavṛtta
cīrṅavṛtta		cīrnavṛtta
uccanīcavṛtta		uccanīcavṛtta
nīcoccavṛtta		nīcoccavṛtta
rājavṛtta		rājavṛtta
viṭavṛtta	M	viṭavṛtta
hatavṛtta		hatavṛtta
khaṅḍitavṛtta		khanḍitavṛtta
patitavṛtta		patitavṛtta
nṛpatinītigarbhitavṛtta	M	nṛpatinītigarbhitavṛtta
śrutavṛtta	M	śrutavṛtta
svasthavṛtta		svasthavṛtta
lekhāsthavṛtta		lekhāsthavṛtta
pādavṛtta		pādavṛtta
vedavṛtta	M	vedavṛtta
anavṛtta	M	anavṛtta
sthāpanavṛtta		sthāpanavṛtta
ayanavṛtta	M	ayanavṛtta
jinavṛtta		jinavṛtta
hīnavṛtta		hīnavṛtta
bhinnavṛtta		bhinnavṛtta
sambhinnavṛtta	M	sambhinnavṛtta
svapnavṛtta		svapnavṛtta
apavṛtta		apavṛtta
upavṛtta		upavṛtta
kṣepavṛtta		kṣepavṛtta
vikṣepavṛtta	M	vikṣepavṛtta
kadambavṛtta		kadambavṛtta
apamavṛtta	M	apamavṛtta
viṣamavṛtta		viṣamavṛtta
samavṛtta		samavṛtta
kāmavṛtta		kāmavṛtta
nyāyavṛtta		nyāyavṛtta
anyāyavṛtta	M	anyāyavṛtta
kaunteyavṛtta	M	kaunteyavṛtta
udīcyavṛtta	G	udīcyavṛtta
satyavṛtta		satyavṛtta
madhyavṛtta		madhyavṛtta
āryavṛtta		āryavṛtta
anāryavṛtta		anāryavṛtta
