headword_iast	source_code	form_key	in_union	union_dicts
ḷa	S	ḷa	0	
kṛpanīḷa		kṛpanīḷa	0	
aheḷa	A	aheḷa	0	
vaḥa	R	vaḥa	0	
ajimḥa	I	ajimḥa	0	
acintia	H	acintia	1	BHS
india	P	india	0	
bāḷa	M	bāḷa	0	
nibāḷa	M	nibāḷa	0	
sambāḷa	M	sambāḷa	0	
mīḷa	M	mīḷa	0	
ajamīḷa	M	ajamīḷa	0	
ājamīḷa	M	ājamīḷa	0	
sahasramīḷa	M	sahasramīḷa	0	
purumīḷa	V	purumīḷa	0	
paurumīḷa	M	paurumīḷa	0	
sumīḷa	V	sumīḷa	0	
svarmīḷa	M	svarmīḷa	0	
arīḷa	M	arīḷa	0	
vyūḷa	M	vyūḷa	0	
dṛḷa	M	dṛḷa	0	
rathoḷa	M	rathoḷa	0	
ā		ā	1	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
paṛā	N	paṛā	0	
ghūrṅiā	N	ghūrniā	1	INM
phumphuā		phumphuā	1	AP MW PWG PWK
i		i	1	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
āi	M	āi	1	MW
reui		reui	1	MW PWG PWK
acchāi	M	acchāi	1	MW
dādābhāi	G	dādābhāi	1	MW PWG PWK
nāhnābhāi	M	nāhnābhāi	1	MW
rājasāi		rājasāi	1	MW PWG PWK
ī		ī	1	AP BHS BUR INM MW PWG PWK SCH SKD VCP
hūṅgarāī	G	hūngarāī	1	PWG
subhruī	I	subhruī	0	
vikṛī	R	vikṛī	0	
dhṛtarāṣṭṛī	I	dhṛtarāṣṭṛī	0	
dhoī	G	dhoī	1	PWG
u		u	1	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
vīḷu	G	vīḷu	0	
hareu	G	hareu	1	PWG
jaḷu	M	jaḷu	0	
mīḷu	M	mīḷu	0	
ū		ū	1	BUR CAE CCS MD MW PWG PWK SKD VCP
maṅaū		manaū	1	MW PWG PWK
manaū		manaū	1	MW PWG PWK
ṛ		ṛ	1	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
āṛ	M	āṛ	1	MW
upaṛ	M	upaṛ	1	MW
bhaṛ	G	bhaṛ	0	
sāḷṛ	M	sāḷṛ	0	
pravoḷṛ	M	pravoḷṛ	0	
ṝ	A	ṝ	1	AP BUR MW PWG PWK SKD VCP
ḷ		ḷ	1	AP BUR MW PWG PWK SKD VCP
īḷ	B	īḷ	0	
ḹ		ḹ	1	AP BUR MW PWG PWK SKD VCP
e		e	1	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
preḷe	B	preḷe	0	
bāḷe	M	bāḷe	0	
ai		ai	1	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP
o		o	1	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP
au		au	1	AP BUR MW PWG PWK SKD VCP
āṃ	B	ām	1	BUR SKD
humāuṃ	M	humāum	1	MW
ūṃ	M	ūm	1	MW PWK
ūṃṃ		ūnm	0	
sayephakhāṃṃ	G	sayephakhānm	0	
sāristhākhāṃṃ		sāristhākhānm	0	
ghrāṃṃ		ghrānm	0	
mukhullocakaṃ	H	mukhullocakam	1	BHS
yenicchakaṃ	H	yenicchakam	1	BHS
tāvattakaṃ	H	tāvattakam	1	BHS
nṛpakaṃ	H	nṛpakam	1	BHS
sākaṃ	M	sākam	1	MW SKD
ātyantikaṃ	B	ātyantikam	0	
āgāmikaṃ		āgāmikam	0	
bhārikaṃ	G	bhārikam	0	
pāribhāṣikaṃ	G	pāribhāṣikam	1	PWG SKD
abhyaṅgaṃ		abhyangam	0	
yatoadhikaraṅaṃ	H	yatoadhikaranam	1	BHS
saugandhikāharaṅaṃ	N	saugandhikāharanam	1	INM
tāmravaṅaṃ		tāmravanam	0	
sutṛṣṅaṃ	G	sutṛṣnam	1	PWG
tīkṣṅaṃ	H	tīkṣnam	1	BHS SKD
vācaṃ	R	vācam	1	MW
abjaṃ	S	abjam	1	AP
ṭaṃ	R	ṭam	1	SKD
ṭhaṭhaṃ	M	ṭhaṭham	1	MW SKD
mahairaṅḍaṃ	G	mahairanḍam	1	PWG
anurāgataṃ	H	anurāgatam	1	BHS
pataṃ	M	patam	1	MW SKD
prātaṃ	H	prātam	1	BHS
samādhitaṃ	H	samādhitam	1	BHS
saṃmitaṃ	H	sanmitam	1	BHS
kṛtaṃ	H	kṛtam	1	BHS SKD
anṛtaṃ	P	anṛtam	1	SKD
śṛtaṃ	M	śṛtam	1	MW SKD
anuśrotaṃ	H	anuśrotam	1	BHS
naktaṃ	M	naktam	1	MW SKD
alaktaṃ		alaktam	0	
khattaṃ	H	khattam	1	BHS
kṣattaṃ	H	kṣattam	1	BHS
kuttaṃ	H	kuttam	1	BHS
khuttaṃ	H	khuttam	1	BHS
kṣuttaṃ	H	kṣuttam	1	BHS
kriyālakṣaṅavinivṛttaṃ	H	kriyālakṣanavinivṛttam	1	BHS
paryāptaṃ	H	paryāptam	1	BHS
saṃhatahastaṃ		sanhatahastam	0	
avustaṃ	H	avustam	1	BHS
āvustaṃ	H	āvustam	1	BHS
kathaṃ	M	katham	1	MW SKD
etthaṃ	H	ettham	1	BHS
gandharvāṅāṃcīrthaṃ	N	gandharvānāncīrtham	1	INM
rudrasyatīrthaṃ	N	rudrasyatīrtham	1	INM
devasyatīrthaṃ	N	devasyatīrtham	1	INM
bhṛgostīrthaṃ	N	bhṛgostīrtham	1	INM
paramaṃpadaṃ	N	paramanpadam	1	INM
saṃyathīdaṃ	H	sanyathīdam	1	BHS
sayyathīdaṃ	H	sayyathīdam	1	BHS
sayyathāpīdaṃ	H	sayyathāpīdam	1	BHS
krandaṃ		krandam	0	
avidhaṃ	H	avidham	1	BHS
naṃ	H	nam	1	AP
ānidhanaṃ	G	ānidhanam	1	PWG
abhinidhanaṃ	G	abhinidhanam	1	PWG
subandhanaṃ		subandhanam	0	
tatonidānaṃ	H	tatonidānam	1	BHS
ratnajinaṃ	H	ratnajinam	1	BHS
tamenaṃ	H	tamenam	1	BHS
śubhaṃ	M	śubham	1	MW SKD
mahādambhaṃ		mahādambham	0	
sūkṣmaṃtapastatparamaṃ	N	sūkṣmantapastatparamam	1	INM
vyutkramaṃ	G	vyutkramam	1	PWG
āyuṣmaṃ	H	āyuṣmam	1	BHS
yaṃ	H	yam	1	BHS
eyaṃ	H	eyam	1	BHS
ubhayaṃ	H	ubhayam	1	BHS
avyayaṃ	H	avyayam	1	BHS SKD
bījamavyayaṃ	N	bījamavyayam	1	INM
svayaṃ	H	svayam	1	BHS MW SKD
bhaganarāyaṃ	G	bhaganarāyam	0	
sāyaṃ	M	sāyam	1	MW SKD
aṃuñciyaṃ	H	anunciyam	0	
dhiyaṃ	M	dhiyam	1	MW
govindīyaṃ	H	govindīyam	0	
ākāleyaṃ	H	ākāleyam	1	BHS
etaddevatyaṃ		etaddevatyam	0	
adhihastyaṃ	G	adhihastyam	0	
yauthyaṃ	G	yauthyam	0	
sadyaṃ	H	sadyam	1	BHS
janitavyaṃ		janitavyam	0	
grahītavyaṃ		grahītavyam	0	
cetavyaṃ		cetavyam	0	
atyavaśyaṃ	H	atyavaśyam	1	BHS
atideśyaṃ		atideśyam	0	
jyotiṣyaṃ		jyotiṣyam	0	
pratibhūṣyaṃ	H	pratibhūṣyam	1	BHS
chandasyaṃ		chandasyam	0	
araṃ	M	aram	1	MW SKD
tāvantaraṃ	H	tāvantaram	1	BHS
pravaraṃ	G	pravaram	1	SKD
vṛttikāraṃ	G	vṛttikāram	1	PWG
śuddhāraṃ	H	śuddhāram	1	BHS
śitivāraṃ		śitivāram	0	
svargadvāraṃprajādvāraṃ	N	svargadvāranprajādvāram	1	INM
ciraṃ	H	ciram	1	BHS SKD
puraṃ	M	puram	1	MW SKD
paratraṃ	H	paratram	1	BHS
cāritraṃ	N	cāritram	1	INM SKD
paramaṃpavitraṃ	N	paramanpavitram	1	INM
chattraṃ	N	chattram	1	INM SKD
alaṃ	M	alam	1	MW SKD
ekādaśakapālaṃ		ekādaśakapālam	0	
mahadbilaṃ	G	mahadbilam	1	PWG
mūlaṃ	H	mūlam	1	BHS SKD
pratyanīkabhāvaṃ		pratyanīkabhāvam	0	
tvaṃ	M	tvam	1	MW SKD
saṃskṛtatvaṃ		sanskṛtatvam	0	
chaddhvaṃ	H	chaddhvam	1	BHS
dārvaṃ	P	dārvam	0	
anupūrvaṃ	H	anupūrvam	1	BHS
śaṃ	M	śam	1	MW SKD
darśaṃdarśaṃ	M	darśandarśam	1	MW
saṃ	R	sam	1	BHS MW SKD
vaihāyasaṃ	H	vaihāyasam	1	BHS
sthūlanāsaṃ	G	sthūlanāsam	1	PWG
kisaṃ	G	kisam	1	PWG
ahaṃ	M	aham	1	MW SKD
balīhaṃ	P	balīham	0	
mohaṃ	H	moham	1	BHS
anyapakṣikāṃ	H	anyapakṣikām	1	BHS
hrasvagavedhukāṃ	G	hrasvagavedhukām	0	
gāṃ	M	gām	1	MW
utthānaḥsarvakarmaṅāṃ	N	utthānaḥsarvakarmanām	1	INM
pravarasurāṅāṃ	N	pravarasurānām	1	INM
dhanuryantrāṅāṃ	N	dhanuryantrānām	1	INM
bandhanaasurendrāṅāṃ	N	bandhanaasurendrānām	1	INM
jetāripūṅāṃ	N	jetāripūnām	1	INM
uccāṃ	G	uccām	1	PWG
jhāṃ	M	jhām	1	MW
salokānāṃ	H	salokānām	1	BHS
unmādaḥsarvabhūtānāṃ	N	unmādaḥsarvabhūtānām	1	INM
prabhavaḥsarvabhūtānāṃ	N	prabhavaḥsarvabhūtānām	1	INM
vahitṛsarvabhūtānāṃ	N	vahitṛsarvabhūtānām	1	INM
upāligaṅgapālānāṃ	H	upāligangapālānām	0	
antadevānāṃ	N	antadevānām	1	INM
guhāpālapraveśināṃ	N	guhāpālapraveśinām	1	INM
indriyasarvadehināṃ	N	indriyasarvadehinām	1	INM
yuvarājācedīnāṃ	N	yuvarājācedīnām	1	INM
brahmakāyikamagnīnāṃ	N	brahmakāyikamagnīnām	1	INM
prabhuḥprabhūnāṃ	N	prabhuḥprabhūnām	1	INM
īśapaśūnāṃ	N	īśapaśūnām	1	INM
ghrāṃ	M	ghrām	1	MW
putrīkaraṅamīmāṃsāṃ	G	putrīkaranamīmānsām	0	
sthaviṣṭhaḥsthavīyasāṃ	N	sthaviṣṭhaḥsthavīyasām	1	INM
śreṣṭhaśreyasāṃ	N	śreṣṭhaśreyasām	1	INM
kiṃ	N	kim	1	INM MW SKD
āyatiṃ	H	āyatim	1	BHS
prasīdāmiṃ	B	prasīdāmim	0	
khariṃ	M	kharim	1	MW
khāriṃ	M	khārim	1	MW
diviṃ	H	divim	1	BHS
tadāhiṃ	H	tadāhim	1	BHS
etarhiṃ	H	etarhim	1	BHS
tūṣṅīṃ	M	tūṣnīm	1	MW SKD
tadānīṃ	M	tadānīm	1	MW SKD
guṃ	M	gum	1	MW
puṃ	M	pum	1	MW
huṃ	M	hum	1	MW
huhuṃ	H	huhum	1	BHS
khuḍṃ	B	khuḍm	0	
āḥ	A	ā	1	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
iḥ	A	i	1	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
īḥ	A	ī	1	AP BHS BUR INM MW PWG PWK SCH SKD VCP
uḥ	A	u	1	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
ūḥ	B	ū	1	BUR CAE CCS MD MW PWG PWK SKD VCP
eḥ	A	e	1	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
aiḥ	A	ai	1	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP
jānikaḥ	H	jānika	1	BHS
lokānāṃkīrtivardhaṅaḥ	N	lokānānkīrtivardhana	1	INM
atharvāṅaḥ	V	atharvāna	1	INM MW PD PWG PWK
arcayantyarkamarkiṅaḥ	N	arcayantyarkamarkina	1	INM
gāyantitvāṃgāyatriṅaḥ	N	gāyantitvāngāyatrina	1	INM
vacaḥ	M	vaca	1	BUR MW PWG PWK SKD VCP
rajaḥ	M	raja	1	BHS BUR CAE INM MD MW PWG PWK VCP
oṣadhijaḥ	I	oṣadhija	1	AP MW PWG PWK VCP
tejaḥ	R	teja	1	CAE MD MW PWG PWK SCH VCP
śaṭaḥ	H	śaṭa	1	AP BHS BUR MW PWG PWK SKD VCP
saṭhaḥ	H	saṭha	1	SKD VCP
brahmavatāṃvariṣṭhaḥ	N	brahmavatānvariṣṭha	1	INM
śilpināṃśreṣṭhaḥ	N	śilpinānśreṣṭha	1	INM
ṣaḍiḍaḥ	G	ṣaḍiḍa	1	MW PWK
styayāntataḥ	H	styayāntata	1	BHS
purastataḥ	H	purastata	1	BHS
ubhayataḥ	M	ubhayata	1	MW
anyāyataḥ	I	anyāyata	1	PD
agrataḥ	H	agrata	1	AP SKD
sarvataḥ	M	sarvata	1	CAE CCS MW PWK
sanātanānāmapiśāśvataḥ	N	sanātanānāmapiśāśvata	1	INM
sataḥ	M	sata	1	CAE CCS MW PWG PWK VEI
prātaḥ	M	prāta	1	MW
saritaḥ	N	sarita	1	BHS MW
cetaḥ	M	ceta	1	BUR
retaḥ	M	reta	1	CAE MW PWG PWK
antaḥ	M	anta	1	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SCH VCP
arcismantaḥ	N	arcismanta	1	INM
kallāleśolakṣmīkāntaḥ		kallāleśolakṣmīkānta	1	PWK
dharmakāmārthamokṣānāṃkathanīyakathaḥ	N	dharmakāmārthamokṣānānkathanīyakatha	1	INM
mithaḥ	M	mitha	1	MW SKD VCP
vṛkṣāṅāṃkandadaḥ	N	vṛkṣānānkandada	1	INM
niṣadaḥ	N	niṣada	1	INM MW PWG PWK
sadaḥ	M	sada	1	CAE CCS INM MD MW PWG PWK
yādaḥ	M	yāda	1	MW
abhijātakovidaḥ	I	abhijātakovida	0	
kakudaḥ	I	kakuda	1	CAE CCS MD MW PWG PWK VCP
medaḥ	M	meda	1	BUR CAE CCS INM MD MW PWG PWK SCH SKD VCP
rodaḥ	M	roda	1	CAE CCS MW PWG PWK
chandaḥ	M	chanda	1	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP
adhaḥ	M	adha	1	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK VCP
pṛtsudhaḥ	G	pṛtsudha	1	MW VCP
rodhaḥ	M	rodha	1	BHS BUR CAE CCS GRA MD MW PWG PWK VCP
bhūtānāṃmathanaḥ	N	bhūtānānmathana	1	INM
manaḥ	M	mana	1	CAE CCS MW PWG PWK SKD VCP
sumanaḥ	M	sumana	1	AP BHS BUR INM MW PWG PWK VCP
sanaḥ	M	sana	1	SCH
arājānaḥ	V	arājāna	1	VEI
vāpyāyamānaḥ	H	vāpyāyamāna	1	BHS
dantolūkhalinaḥ	N	dantolūkhalina	1	INM
punaḥ	M	puna	1	SKD VCP
śunaḥ	I	śuna	1	BUR CAE CCS GRA MD MW PWG PWK SKD VCP
paunaḥ	M	pauna	1	MW
śukamahimnaḥ		śukamahimna	0	
apaḥ	I	apa	1	AP BUR CAE CCS GRA MD MW PD PWG PWK SKD VCP
āpaḥ	N	āpa	1	BHS BUR INM MW PWG PWK SKD VCP
tapaḥ	R	tapa	1	AP BUR CAE CCS INM MD MW PWG PWK SKD VCP
paramaṃtapaḥ	N	paramantapa	1	INM
kṣapaḥ	M	kṣapa	1	MW PWG PWK SKD VCP
