headword_slp1	headword_iast	form_key	cdsl_key	exact_key	sources	rev_class	source_page_ref
aMSagaRa	aṃśagaṇa	anśagana	aMSagaRa	amsagana	IEG,PD	0	
paryantIkfta	paryantīkṛta	paryantīkṛta	paryantIkfta	paryantikrta	BHS,MW	0	
paryavadApayitar	paryavadāpayitar	paryavadāpayitar	paryavadApayitar	paryavadapayitar	BHS,SCH	0	
