key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
arkAtmaja	arka1tmaja	arkātmaja	arkātmaja	fiction	4844	065-3	SCH-fiction-3147_cases.xml	0
artni	artni	artni	artni	fiction	4873	066-2	SCH-fiction-3147_cases.xml	0
arDaSaPara	ardhas4aphara	ardhaśaphara	ardhaśaphara	fiction	4990	068-1	SCH-fiction-3147_cases.xml	0
arhadGawIcakra	arhadghat2i1cakra	arhadghaṭīcakra	arhadghaṭīcakra	fiction	5040	068-3	SCH-fiction-3147_cases.xml	0
alipta	alipta	alipta	alipta	fiction	5123	070-1	SCH-fiction-3147_cases.xml	0
avagaRanA	avagan2ana1	avagaṇanā	avagananā	fiction	5206	071-1	SCH-fiction-3147_cases.xml	0
avadravya	avadravya	avadravya	avadravya	fiction	5268	072-1	SCH-fiction-3147_cases.xml	0
avanaha	avanaha	avanaha	avanaha	fiction	5280	072-1	SCH-fiction-3147_cases.xml	0
avaracAmara	Avaraca1mara	avaracāmara	avaracāmara	fiction	5344	073-1	SCH-fiction-3147_cases.xml	0
avazwamBanatA	avas2t2ambhanata1	avaṣṭambhanatā	avaṣṭambhanatā	fiction	5418	074-1	SCH-fiction-3147_cases.xml	0
avasnAna	avasna1na	avasnāna	avasnāna	fiction	5449	074-2	SCH-fiction-3147_cases.xml	0
avijYapti	avijn5apti	avijñapti	avijnapti	fiction	5552	076-1	SCH-fiction-3147_cases.xml	0
avipariRAmavartin	aviparin2a1mavartin	avipariṇāmavartin	aviparināmavartin	fiction	5598	076-3	SCH-fiction-3147_cases.xml	0
avEvartacakra	Avaivartacakra	avaivartacakra	avaivartacakra	fiction	5728	078-2	SCH-fiction-3147_cases.xml	0
avyantIkfta	avyanti1kr2ta	avyantīkṛta	avyantīkṛta	fiction	5743	078-3	SCH-fiction-3147_cases.xml	0
aSasti	as4asti	aśasti	aśasti	fiction	5809	079-3	SCH-fiction-3147_cases.xml	0
aSiTilatva	as4ithilatva	aśithilatva	aśithilatva	fiction	5824	079-3	SCH-fiction-3147_cases.xml	0
aSiSvidAna	as4is4vida1na	aśiśvidāna	aśiśvidāna	fiction	5835	080-1	SCH-fiction-3147_cases.xml	0
aSuBaBAvanA	as4ubhabha1vana1	aśubhabhāvanā	aśubhabhāvanā	fiction	5853	080-2	SCH-fiction-3147_cases.xml	0
aSEkza	as4aiks2a	aśaikṣa	aśaikṣa	fiction	5863	080-2	SCH-fiction-3147_cases.xml	0
aSOklya	as4auklya	aśauklya	aśauklya	fiction	5874	080-3	SCH-fiction-3147_cases.xml	0
aSmanta	as4manta	aśmanta	aśmanta	fiction	5882	080-3	SCH-fiction-3147_cases.xml	0
aSradDya	as4raddhya	aśraddhya	aśraddhya	fiction	5889	080-3	SCH-fiction-3147_cases.xml	0
aSrAmaRya	as4ra1man2ya	aśrāmaṇya	aśrāmanya	fiction	5892	080-3	SCH-fiction-3147_cases.xml	0
aSva	as4va	aśva	aśva	fiction	5914	081-1	SCH-fiction-3147_cases.xml	0
aSvaka	as4vaka	aśvaka	aśvaka	fiction	5915	081-1	SCH-fiction-3147_cases.xml	0
aSvakAya	as4vaka1ya	aśvakāya	aśvakāya	fiction	5916	081-1	SCH-fiction-3147_cases.xml	0
aSvakrIta	as4vakri1ta	aśvakrīta	aśvakrīta	fiction	5919	081-1	SCH-fiction-3147_cases.xml	0
aSvagozWa	as4vagos2t2ha	aśvagoṣṭha	aśvagoṣṭha	fiction	5920	081-1	SCH-fiction-3147_cases.xml	0
aSvadAya	as4vada1ya	aśvadāya	aśvadāya	fiction	5926	081-2	SCH-fiction-3147_cases.xml	0
aSvavaktra	as4vavaktra	aśvavaktra	aśvavaktra	fiction	5939	081-2	SCH-fiction-3147_cases.xml	0
aSvasta	as4vasta	aśvasta	aśvasta	fiction	5949	081-3	SCH-fiction-3147_cases.xml	0
aSvAri	as4va1ri	aśvāri	aśvāri	fiction	5957	081-3	SCH-fiction-3147_cases.xml	0
aSvikA	as4vika1	aśvikā	aśvikā	fiction	5959	081-3	SCH-fiction-3147_cases.xml	0
aSvorasa	as4vorasa	aśvorasa	aśvorasa	fiction	5961	081-3	SCH-fiction-3147_cases.xml	0
azwamakaBUmi	as2t2amakabhu1mi	aṣṭamakabhūmi	aṣṭamakabhūmi	fiction	5977	082-1	SCH-fiction-3147_cases.xml	0
asaMlulita	asam2lulita	asaṃlulita	asanlulita	fiction	6041	083-1	SCH-fiction-3147_cases.xml	0
asanidarSana	asanidars4ana	asanidarśana	asanidarśana	fiction	6127	084-2	SCH-fiction-3147_cases.xml	0
asaMmatAvavAda	asam2mata1vava1da	asaṃmatāvavāda	asammatāvavāda	fiction	6198	085-2	SCH-fiction-3147_cases.xml	0
asiDAra	asidha1ra	asidhāra	asidhāra	fiction	6265	086-1	SCH-fiction-3147_cases.xml	0
asfgvarA	asr2gvara1	asṛgvarā	asṛgvarā	fiction	6317	086-3	SCH-fiction-3147_cases.xml	0
astamitAvavAda	astamita1vava1da	astamitāvavāda	astamitāvavāda	fiction	6343	087-1	SCH-fiction-3147_cases.xml	0
astADayati	asta1dhayati	astādhayati	astādhayati	fiction	6348	087-2	SCH-fiction-3147_cases.xml	0
asTI	asthi1	asthī	asthī	fiction	6383	087-3	SCH-fiction-3147_cases.xml	0
ahivalli	ahivalli	ahivalli	ahivalli	fiction	6490	089-1	SCH-fiction-3147_cases.xml	0
ahIraRI	ahi1ran2i1	ahīraṇī	ahīranī	fiction	6500	089-2	SCH-fiction-3147_cases.xml	0
AkArAnapakAra	a1ka1ra1napaka1ra	ākārānapakāra	ākārānapakāra	fiction	6551	089-3	SCH-fiction-3147_cases.xml	0
AkASagarBa	A1ka1s4agarbha	ākāśagarbha	ākāśagarbha	fiction	6559	090-1	SCH-fiction-3147_cases.xml	0
AkASasParaRa	a1ka1s4aspharan2a	ākāśaspharaṇa	ākāśaspharana	fiction	6567	090-1	SCH-fiction-3147_cases.xml	0
AkASAsaNgavimuktinirupalepa	a1ka1s4a1san3gavimuktinirupalepa	ākāśāsaṅgavimuktinirupalepa	ākāśāsangavimuktinirupalepa	fiction	6570	090-1	SCH-fiction-3147_cases.xml	0
AcCowana	a1cchot2ana	ācchoṭana	ācchoṭana	fiction	6727	092-1	SCH-fiction-3147_cases.xml	0
AjYApanIya	a1jn5a1pani1ya	ājñāpanīya	ājnāpanīya	fiction	6750	092-2	SCH-fiction-3147_cases.xml	0
Awavakayakza	a1t2avakayaks2a	āṭavakayakṣa	āṭavakayakṣa	fiction	6767	092-3	SCH-fiction-3147_cases.xml	0
anipratyaninirharayoga	ANipratyANInirhArayoga	anipratyaninirharayoga	anipratyaninirharayoga	fiction	6789	093-1	SCH-fiction-3147_cases.xml	0
